State,District,Households_x,Population,Literacy_Rate,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Andaman and Nicobar Islands,Nicobars,0.0029028024151506026,0.002609267486923804,0.6668334167083544,0.29770992366412213,0.0,0.18130311614730885,0.47590361445783125,0.44615384615384623,0.9475806451612903,0.800595238095238,0.14503816793893132,0.16071428571428573,0.979739507959479,0.9720101781170485,0.01552795031055901,0.1133276951395453,0.5296052631578947,0.768033946251768,0.9795918367346939,0.9335443037974686,0.53485254691689,0.9428989751098096,0.691588785046729,0.948509485094851,0.8994334277620397,0.3152173913043479,0.17721518987341775,0.2574712643678161,0.1650943396226415,0.717479674796748,0.5069444444444444,0.7136797454931071,0.7601713062098501,0.9041095890410958,0.5775862068965517,0.34177215189873417,0.03183229813664596,0.019704433497536946,0.023809523809523808,0.0,0.1111111111111111,0.9992004185003984,0.007417288142444269,0.01956825925807244,0.0324249838296915,0.00971856112043028,0.01691689903454061,0.006121362961787755,0.001426773918123399,0.0003104593763905993,0.00026295030239284776,8.054353043118443e-05,1.7392058367796977e-05
Andaman and Nicobar Islands,North And Middle Andaman,0.00959436343513586,0.008830232396537721,0.7627146906786728,0.6005089058524173,0.0,0.07790368271954674,0.4457831325301204,0.43076923076923074,0.6491935483870969,0.5624999999999999,0.11450381679389314,0.625,0.9753979739507961,0.9707379134860054,0.009316770186335406,0.09472165563902293,0.5778508771929823,0.809052333804809,0.8673469387755103,0.7848101265822786,0.3672922252010723,0.6617862371888724,0.1191588785046729,0.8631436314363145,0.6628895184135978,0.644927536231884,0.2911392405063291,0.5172413793103449,0.17452830188679244,0.6524390243902439,0.6694444444444445,0.7932131495227995,0.879014989293362,0.02054794520547945,0.07327586206896551,1.0,0.034161490683229816,0.03940886699507389,0.047619047619047616,0.0,0.1111111111111111,0.9952527757299555,0.025970613795751732,0.06229371615342712,0.10100115301330184,0.006097398620763107,0.057818822962865155,0.026379372461138268,0.011739990113692535,0.004750028458776169,0.0018406521167499343,0.00040703400662509383,0.00015523497638111574
Andaman and Nicobar Islands,South Andamans,0.022598807461025248,0.020822928112409683,0.852592963148241,0.5445292620865141,0.0,0.26203966005665724,0.4578313253012048,0.4538461538461539,0.5423387096774193,0.431547619047619,0.15267175572519084,0.0,0.955137481910275,0.9936386768447837,0.0,0.17213073976419083,0.9133771929824562,0.85007072135785,0.9642857142857144,0.9873417721518986,0.5884718498659517,0.4787701317715958,0.039719626168224303,0.5962059620596206,0.2776203966005666,0.18478260869565216,0.16666666666666669,0.18620689655172412,0.2075471698113208,0.7154471544715447,0.7375000000000002,0.8642629904559915,0.8501070663811563,0.04794520547945205,0.05603448275862069,0.5063291139240506,0.030279503105590064,0.07389162561576355,0.023809523809523808,0.0,0.0,0.9961184460380225,0.026496089249984842,0.05294752245756828,0.08570263505722883,0.058098357163777724,0.04733314174310858,0.02541423316046763,0.009863838583561766,0.002525069594643541,0.014988167236392323,0.003324499749810099,0.002000622844689648
Andhra Pradesh,Adilabad,0.2563681810753585,0.24730360009786337,0.4225446056361514,0.5388040712468194,0.5593607305936074,0.6062322946175639,0.3012048192771084,0.30769230769230765,0.4919354838709677,0.37202380952380953,0.13994910941475827,0.18750000000000003,0.8885672937771346,0.9007633587786261,0.35869565217391297,0.1407392667031491,0.45614035087719296,0.6294200848656294,0.9489795918367346,0.958860759493671,0.3404825737265415,0.29795021961932644,0.011682242990654207,0.48373983739837406,0.10835694050991503,0.40398550724637683,0.41350210970464124,0.3126436781609196,0.39622641509433965,0.3546747967479674,0.6569444444444444,0.6134676564156947,0.49464668094218406,0.013698630136986302,0.02586206896551724,0.018987341772151896,0.14518633540372672,0.1724137931034483,0.16666666666666666,0.047619047619047616,0.1111111111111111,0.9301743813715196,0.10947068453283211,0.08963800856645411,0.15020107427093,0.03312742409315618,0.1368769757741928,0.04691833004458811,0.04812272502583921,0.056208670095518,0.0385222193005522,0.003909090868743124,0.0030091737436194936
Andhra Pradesh,Alluri Sitharama Raju,0.12354300963155856,0.140186646138523,0.5546106386526598,0.5388040712468194,0.5593607305936074,0.6062322946175639,0.3012048192771084,0.30769230769230765,0.4919354838709677,0.37202380952380953,0.13994910941475827,0.18750000000000003,0.8885672937771346,0.9007633587786261,0.35869565217391297,0.1407392667031491,0.45614035087719296,0.6294200848656294,0.9489795918367346,0.958860759493671,0.3404825737265415,0.29795021961932644,0.011682242990654207,0.48373983739837406,0.10835694050991503,0.40398550724637683,0.41350210970464124,0.3126436781609196,0.39622641509433965,0.3546747967479674,0.6569444444444444,0.6134676564156947,0.49464668094218406,0.013698630136986302,0.02586206896551724,0.018987341772151896,0.14518633540372672,0.1724137931034483,0.16666666666666666,0.047619047619047616,0.1111111111111111,0.9301743813715196,0.10947068453283211,0.08963800856645411,0.15020107427093,0.03312742409315618,0.1368769757741928,0.04691833004458811,0.04812272502583921,0.056208670095518,0.013936366026820931,0.0009030457216401743,0.0011079194513475424
Andhra Pradesh,Anakapalli,0.12354300963155856,0.140186646138523,0.5546106386526598,0.5388040712468194,0.5593607305936074,0.6062322946175639,0.3012048192771084,0.30769230769230765,0.4919354838709677,0.37202380952380953,0.13994910941475827,0.18750000000000003,0.8885672937771346,0.9007633587786261,0.35869565217391297,0.1407392667031491,0.45614035087719296,0.6294200848656294,0.9489795918367346,0.958860759493671,0.3404825737265415,0.29795021961932644,0.011682242990654207,0.48373983739837406,0.10835694050991503,0.40398550724637683,0.41350210970464124,0.3126436781609196,0.39622641509433965,0.3546747967479674,0.6569444444444444,0.6134676564156947,0.49464668094218406,0.013698630136986302,0.02586206896551724,0.018987341772151896,0.14518633540372672,0.1724137931034483,0.16666666666666666,0.047619047619047616,0.1111111111111111,0.9301743813715196,0.10947068453283211,0.08963800856645411,0.15020107427093,0.03312742409315618,0.1368769757741928,0.04691833004458811,0.04812272502583921,0.056208670095518,0.05706021561924796,0.003949384728098225,0.007693199176767352
Andhra Pradesh,Anantapur,0.3823215534266403,0.36853881020732265,0.46456561614140407,0.5388040712468194,0.5593607305936074,0.6062322946175639,0.3012048192771084,0.30769230769230765,0.4919354838709677,0.37202380952380953,0.13994910941475827,0.18750000000000003,0.8885672937771346,0.9007633587786261,0.35869565217391297,0.1407392667031491,0.45614035087719296,0.6294200848656294,0.9489795918367346,0.958860759493671,0.3404825737265415,0.29795021961932644,0.011682242990654207,0.48373983739837406,0.10835694050991503,0.40398550724637683,0.41350210970464124,0.3126436781609196,0.39622641509433965,0.3546747967479674,0.6569444444444444,0.6134676564156947,0.49464668094218406,0.013698630136986302,0.02586206896551724,0.018987341772151896,0.14518633540372672,0.1724137931034483,0.16666666666666666,0.047619047619047616,0.1111111111111111,0.9301743813715196,0.10947068453283211,0.08963800856645411,0.15020107427093,0.03312742409315618,0.1368769757741928,0.04691833004458811,0.04812272502583921,0.056208670095518,0.0385222193005522,0.003909090868743124,0.0030091737436194936
Andhra Pradesh,Ananthapuramu,0.12354300963155856,0.140186646138523,0.5546106386526598,0.45292620865139954,0.6267123287671234,0.4376770538243626,0.34939759036144574,0.2923076923076923,0.5383064516129032,0.4434523809523809,0.06361323155216285,0.23214285714285718,0.9753979739507961,0.9325699745547076,0.7453416149068324,0.13342619770160688,0.8530701754385965,0.5954738330975954,0.9795918367346939,0.9873417721518986,0.23726541554959787,0.24450951683748165,0.014018691588785047,0.1856368563685637,0.0708215297450425,0.605072463768116,0.48101265822784806,0.34022988505747126,0.4882075471698113,0.5182926829268293,0.75,0.6595970307529162,0.7537473233404711,0.027397260273972605,0.04310344827586207,0.2531645569620253,0.7065217391304348,0.6354679802955665,0.35714285714285715,0.2857142857142857,0.1111111111111111,0.747825585118662,0.6980335091655046,0.13531152198758825,0.13383390983998425,0.06806542943614595,0.33747582467941,0.10903099353158352,0.055913809374016986,0.3975742774058014,0.07204838285564029,0.008277024693964722,0.014800148346696287
Andhra Pradesh,Annamayya,0.12354300963155856,0.140186646138523,0.5546106386526598,0.5388040712468194,0.5593607305936074,0.6062322946175639,0.3012048192771084,0.30769230769230765,0.4919354838709677,0.37202380952380953,0.13994910941475827,0.18750000000000003,0.8885672937771346,0.9007633587786261,0.35869565217391297,0.1407392667031491,0.45614035087719296,0.6294200848656294,0.9489795918367346,0.958860759493671,0.3404825737265415,0.29795021961932644,0.011682242990654207,0.48373983739837406,0.10835694050991503,0.40398550724637683,0.41350210970464124,0.3126436781609196,0.39622641509433965,0.3546747967479674,0.6569444444444444,0.6134676564156947,0.49464668094218406,0.013698630136986302,0.02586206896551724,0.018987341772151896,0.14518633540372672,0.1724137931034483,0.16666666666666666,0.047619047619047616,0.1111111111111111,0.9301743813715196,0.10947068453283211,0.08963800856645411,0.15020107427093,0.03312742409315618,0.1368769757741928,0.04691833004458811,0.04812272502583921,0.056208670095518,0.058637917433605045,0.005033098475625955,0.00948011792923654
Andhra Pradesh,Bapatla,0.12354300963155856,0.140186646138523,0.5546106386526598,0.5388040712468194,0.5593607305936074,0.6062322946175639,0.3012048192771084,0.30769230769230765,0.4919354838709677,0.37202380952380953,0.13994910941475827,0.18750000000000003,0.8885672937771346,0.9007633587786261,0.35869565217391297,0.1407392667031491,0.45614035087719296,0.6294200848656294,0.9489795918367346,0.958860759493671,0.3404825737265415,0.29795021961932644,0.011682242990654207,0.48373983739837406,0.10835694050991503,0.40398550724637683,0.41350210970464124,0.3126436781609196,0.39622641509433965,0.3546747967479674,0.6569444444444444,0.6134676564156947,0.49464668094218406,0.013698630136986302,0.02586206896551724,0.018987341772151896,0.14518633540372672,0.1724137931034483,0.16666666666666666,0.047619047619047616,0.1111111111111111,0.9301743813715196,0.10947068453283211,0.08963800856645411,0.15020107427093,0.03312742409315618,0.1368769757741928,0.04691833004458811,0.04812272502583921,0.056208670095518,0.062319221667104914,0.00443303741522282,0.00968752203826139
