State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF
Andaman and Nicobar Islands,Nicobars,0.0027560349510372,0.6124297276241512,0.20345843980357334,0.42557131763754913,0.09873169126278424,0.5666507871061324,30.033078293427305,37.149070758620105,23.16764711559126
Andaman and Nicobar Islands,North And Middle Andaman,0.009212297915836751,0.4771729825160094,0.39455671245487395,0.4016606831833322,0.11524874351033415,0.5362199327087626,29.96413009607415,32.00944448978634,27.369286838248374
Andaman and Nicobar Islands,South Andamans,0.0217108677867174,0.39999133342392673,0.1496458495750924,0.3670668335918005,0.11802877578447912,0.669345880350786,29.019418980265854,30.23914113768284,22.954284907921423
Andhra Pradesh,Adilabad,0.25183589058661093,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13970073392319204,0.5008297397089878,31.224048633071206,31.66435610468118,30.781053921806024
Andhra Pradesh,Alluri Sitharama Raju,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13701953822200058,0.5173379938360513,29.101168547557243,29.389799456402542,27.402733895652954
Andhra Pradesh,Anakapalli,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.1418154898878465,0.5173379938360513,29.19708758087416,29.46173873139023,27.45069341231141
Andhra Pradesh,Anantapur,0.37543018181698146,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13970073392319204,0.5060823660221444,33.80098698394175,34.18876819242016,34.56767205341449
Andhra Pradesh,Ananthapuramu,0.13186482788504075,0.3478382486620008,0.36837977381971104,0.5168769397437029,0.18910517338813576,0.6298516723115192,36.51615249138509,34.28426837968213,34.8418047954722
Andhra Pradesh,Annamayya,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.14221988391642412,0.5173379938360513,29.20517546144571,29.467804641818894,27.454737352597185
Andhra Pradesh,Bapatla,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.14251885185116245,0.5173379938360513,29.21115482014048,29.47228916083997,27.45772703194457
Andhra Pradesh,Chittoor,0.39383769687305675,0.35863308444053416,0.29161806503168014,0.5377497041403331,0.38180708915495565,0.6500927001628797,45.772255301346654,43.411939314639625,43.43003800878312
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.14337740597924792,0.5173379938360513,29.22832590270219,29.485167472761255,27.466312573225427
Andhra Pradesh,East Godavari,0.5150616475168541,0.4073688860230071,0.24277092481426063,0.5344487200508611,0.17412384321404584,0.653660898984495,44.047300303697796,44.39658500021519,43.75624886378724
Andhra Pradesh,Eluru,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.14473307407395095,0.5173379938360513,29.25543926459625,29.505502494181794,27.479869254172456
Andhra Pradesh,Guntur,0.4769062328038042,0.44288653316386917,0.23801862073874233,0.5919166165440624,0.1862642839350565,0.6359509193185372,44.62981259105532,46.03095909990397,43.497891462592555
Andhra Pradesh,Hyderabad,0.34562967914224907,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13970073392319204,0.5409122809796231,33.90157522959667,33.941057288500296,34.1961056975347
Andhra Pradesh,Kakinada,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.1464016290386613,0.5173379938360513,29.288810363890455,29.53053081865245,27.496554803819564
Andhra Pradesh,Karimnagar,0.36319289653661574,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13970073392319204,0.5098550857153242,33.63169567219803,33.98174968374464,34.257144290401214
