State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Andhra Pradesh,Nizamabad,0.2320435422820403,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5015801148965816,30.84320917073167,31.276012890465708,30.19853910048281,336,327,289
Andhra Pradesh,Ntr,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1514842255687294,0.5173379938360513,29.39046229449181,29.606769766603477,27.54738076912024,435,453,461
Andhra Pradesh,Palnadu,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1441118795471335,0.5173379938360513,29.2430153740599,29.49618457627954,27.473657308904283,447,474,473
Andhra Pradesh,Parvathipuram Manyam,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1381874498888222,0.5173379938360513,29.12452678089367,29.40731813140487,27.41441301232117,469,494,488
Andhra Pradesh,Prakasam,0.3231920676262116,0.3980104191339217,0.230526680630414,0.5426137636005982,0.2117259858866047,0.6607884374758818,41.05177608942929,41.03025545728134,38.34029073756294,35,31,43
Andhra Pradesh,Rangareddy,0.4832845193463205,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5272804650716691,36.382035715519024,36.55783593350218,38.121273665037535,87,85,45
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.2870210594607602,0.3654829806924229,0.3179268734478181,0.5452847729181649,0.1865619207640972,0.6047292486319091,39.306038576901045,38.28374226959386,38.40105701550116,47,54,42
Andhra Pradesh,Sri Sathya Sai,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1419850247545844,0.5173379938360513,29.20047827820892,29.464281754391298,27.452388760978792,456,482,478
Andhra Pradesh,Srikakulam,0.2563395147103928,0.3316087200381265,0.2425408311311221,0.5064633801408933,0.1830616250308183,0.5637953055214073,35.93469201976272,35.2462405290365,34.170519655537,99,111,111
Andhra Pradesh,Tirupati,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1483182485259783,0.5173379938360513,29.327142753636792,29.55928011096221,27.51572099869273,438,460,464
Andhra Pradesh,Visakhapatnam,0.4104041517368737,0.3448456398671526,0.3349225116203925,0.5056074120220422,0.1780966885236048,0.587751697655965,40.43488051364517,38.93879597494237,41.39457793313239,41,47,25
Andhra Pradesh,Vizianagaram,0.2214812364651535,0.3482989551761783,0.3277339625875097,0.4987975279400135,0.1408850796779074,0.4984612511604818,33.952831082508006,33.69392742604301,33.69950628162891,159,169,126
Andhra Pradesh,Warangal,0.3335080715425227,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5105846171477071,33.05258980096383,33.39534849818661,33.37754251206416,202,187,137
