State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Bihar,Buxar,66.2,55.1,68.3,6.6,7.1,10.5,13.9,10.4,3.7,90.6,89.5,11.4,1686,44.7,52.4,99.8,98.5,33.3,11.4,0.1,42.2,1.8,45.3,39.6,33.2,21.1,16.6,61.5,27.4,21.1,0.3,0.3,0.0
Bihar,Darbhanga,60.8,52.5,68.9,10.1,6.4,23.5,17.5,14.3,3.8,75.9,69.9,25.3,3230,41.6,48.7,99.8,97.2,22.7,10.6,0.3,55.1,5.6,39.2,45.4,19.3,25.6,13.4,51.8,24.9,22.0,0.2,0.8,0.2
Bihar,Gaya,64.3,64.4,76.7,7.4,4.2,18.8,16.6,5.1,4.1,77.7,76.6,9.7,1927,34.7,44.4,99.2,97.9,30.7,29.9,0.9,51.9,3.7,43.5,47.4,24.3,26.8,10.8,63.2,25.1,18.9,0.1,0.0,0.0
Bihar,Gopalganj,53.8,54.0,56.1,5.0,4.7,22.8,20.3,6.1,5.9,88.0,85.9,12.7,2559,39.4,60.1,99.9,96.2,32.9,12.0,0.1,47.8,5.2,29.2,34.2,21.5,22.7,17.9,53.2,27.9,23.6,0.2,1.5,0.0
Bihar,Jamui,75.2,60.6,81.9,8.2,5.4,14.8,12.6,2.1,1.9,72.7,73.4,14.3,5290,40.2,37.6,90.5,97.9,20.6,25.0,0.5,53.6,2.8,37.5,43.0,19.4,31.0,12.7,73.8,37.9,27.8,0.0,0.0,0.0
Bihar,Jehanabad,68.1,72.1,61.9,9.0,6.9,12.0,13.4,11.2,3.4,88.3,89.1,13.2,1512,34.3,45.5,99.8,99.3,30.5,28.5,1.1,49.1,5.5,51.7,41.3,36.6,27.2,14.3,58.4,17.4,24.2,0.2,1.6,0.2
Bihar,Kaimur (Bhabua),70.3,62.4,71.4,6.1,4.4,15.0,12.3,3.1,4.2,86.0,83.3,18.1,1671,29.0,59.1,98.0,96.7,29.5,14.1,0.5,50.8,2.8,47.2,44.1,27.3,25.6,11.8,62.4,25.6,11.2,0.0,0.0,0.0
Bihar,Katihar,68.4,61.0,65.6,9.1,6.5,17.8,17.0,10.6,2.1,73.8,66.9,8.4,2333,16.9,44.6,99.2,92.0,19.8,10.3,0.6,49.2,6.1,48.1,43.9,23.5,26.4,13.1,40.9,15.3,16.2,0.0,0.0,0.0
Bihar,Khagaria,59.5,62.9,67.1,9.8,8.4,16.1,13.0,13.9,1.6,82.3,74.2,15.6,4327,33.2,65.0,98.8,94.5,26.6,6.9,0.1,43.7,3.5,36.4,34.8,25.3,24.7,18.1,44.6,17.4,15.8,0.2,0.7,0.9
Bihar,Kishanganj,65.1,68.4,67.5,7.8,5.6,22.7,17.4,9.1,1.8,64.9,54.6,8.1,4174,15.3,52.4,100.0,95.8,15.0,6.2,0.6,50.4,11.6,41.1,38.8,23.9,29.1,11.6,37.6,17.1,17.5,0.2,0.8,0.2
Bihar,Lakhisarai,72.6,67.8,77.2,8.8,7.3,13.8,12.3,9.7,1.3,76.2,75.8,15.1,9523,42.6,51.6,96.6,98.0,30.0,20.0,0.8,45.4,2.4,45.1,42.7,25.6,25.3,16.2,66.1,28.0,21.1,0.0,0.2,0.1
Bihar,Madhepura,65.7,69.0,67.7,7.9,8.7,14.5,10.4,13.6,1.6,77.1,75.0,9.5,982,13.4,34.6,99.3,97.0,23.2,13.8,0.5,53.2,7.9,43.5,46.3,20.6,32.0,12.9,53.8,20.9,14.9,0.0,0.9,0.5
Bihar,Madhubani,61.4,68.0,71.0,9.3,7.4,23.4,18.2,30.2,4.4,78.5,73.7,19.2,2426,40.0,38.2,100.0,98.6,26.5,11.1,0.1,53.9,5.0,36.0,43.3,17.1,25.1,13.7,67.5,34.9,16.2,0.0,0.8,0.3
Bihar,Munger,71.4,72.9,74.3,11.6,9.8,18.3,16.1,14.5,2.6,92.3,93.2,15.2,2461,59.4,62.8,97.7,98.4,44.4,12.9,0.1,40.9,2.5,39.5,35.5,26.7,23.7,20.9,68.7,36.8,33.0,1.5,1.5,1.7
Bihar,Muzaffarpur,58.9,61.7,64.6,6.9,6.9,24.0,18.1,14.6,4.3,78.2,72.5,13.2,3663,41.5,55.2,99.9,96.6,33.8,11.2,0.5,51.5,7.2,34.7,42.6,19.9,25.2,16.5,55.9,28.2,13.7,0.2,1.4,0.0
Bihar,Nalanda,71.0,61.7,80.3,7.7,6.8,14.0,13.4,12.4,5.3,85.1,80.3,12.8,2628,41.0,52.5,98.9,98.9,28.8,21.5,0.3,49.8,2.8,46.7,42.6,27.8,23.8,16.0,64.7,29.3,16.4,0.0,0.4,0.0
Bihar,Nawada,70.4,74.3,73.3,5.8,4.9,18.5,14.5,3.4,2.8,79.5,79.9,8.1,2858,40.7,47.9,99.3,97.4,37.3,27.9,0.9,47.9,2.9,37.3,49.4,18.2,28.4,15.7,69.5,31.6,17.5,0.0,0.3,0.0
Bihar,Pashchim Champaran,50.6,61.4,61.6,5.9,4.3,22.6,18.1,22.1,6.6,78.4,79.5,20.0,1882,31.4,43.3,99.7,93.5,21.6,10.8,0.9,48.1,5.9,30.3,43.5,13.2,24.6,20.6,55.0,25.4,9.9,0.0,0.3,0.0
Bihar,Patna,67.1,63.7,65.4,10.0,7.6,14.8,16.1,9.3,0.7,81.4,89.1,10.2,2863,64.6,61.0,98.8,99.0,43.6,21.0,0.4,39.9,2.1,39.6,34.5,27.5,22.6,21.5,51.7,17.9,20.7,0.6,1.6,0.1
Bihar,Purbi Champaran,57.3,61.1,61.0,8.1,5.3,23.6,16.2,13.4,4.7,67.4,61.5,19.4,2811,44.2,48.3,99.9,94.8,20.1,14.9,0.5,55.2,7.6,37.9,49.1,16.8,23.4,16.3,45.4,21.7,18.4,0.6,3.3,0.4
Bihar,Purnia,66.0,74.6,68.0,8.9,6.9,22.5,18.7,12.4,2.7,74.2,68.9,10.2,4083,19.3,35.6,99.6,92.4,19.2,13.2,0.9,47.3,6.2,47.1,43.5,25.8,31.4,14.4,26.3,11.1,12.7,1.2,2.1,0.9
Bihar,Rohtas,64.9,51.0,70.3,7.4,5.3,16.0,15.2,3.6,3.1,91.3,89.1,17.2,1621,47.4,69.0,99.6,98.5,42.6,18.2,0.4,40.6,1.0,48.2,40.0,31.8,22.9,19.8,64.9,34.2,17.4,0.7,1.1,0.0
Bihar,Saharsa,65.3,61.8,69.3,9.0,6.6,15.5,14.9,8.8,2.0,72.9,70.4,12.8,2273,25.2,40.5,100.0,97.2,20.9,9.6,0.2,54.9,10.7,42.7,47.8,20.5,31.0,12.8,34.8,11.7,12.1,0.2,0.2,0.0
Bihar,Samastipur,60.5,69.7,67.2,7.9,8.0,16.4,15.8,10.6,4.5,83.7,83.4,19.0,2268,36.1,48.8,98.6,95.7,26.5,10.5,0.1,51.7,3.5,42.8,44.0,21.3,26.7,15.2,53.4,23.5,20.8,0.6,0.6,0.4
Bihar,Saran,62.8,59.1,69.8,7.9,8.1,19.3,16.7,15.9,1.6,79.1,73.0,9.4,2903,36.8,37.2,99.7,93.6,35.5,17.4,0.6,44.0,4.2,45.0,39.7,28.8,22.1,19.1,44.4,30.7,14.8,0.8,0.5,0.3
Bihar,Sheikhpura,69.5,64.2,80.1,5.8,5.7,16.1,16.3,9.1,6.8,91.8,89.2,9.7,1842,40.3,54.2,98.4,97.3,28.3,23.2,0.2,45.0,2.1,37.6,53.6,16.3,24.1,13.3,68.8,28.4,24.1,0.5,0.5,0.3
Bihar,Sheohar,61.6,37.3,73.1,8.7,4.2,20.8,15.5,8.7,5.2,77.0,74.3,18.1,2090,31.3,57.9,100.0,97.6,21.0,14.9,0.3,56.6,4.5,42.2,34.4,35.4,20.0,7.6,62.8,25.3,11.3,0.0,0.0,0.3
Bihar,Sitamarhi,61.7,59.7,70.0,8.8,6.2,17.9,17.8,26.6,3.4,69.6,64.4,20.7,2538,40.5,50.7,99.7,93.1,19.2,12.7,0.1,55.4,6.4,40.8,54.2,16.2,31.8,13.9,57.8,20.3,14.3,0.0,0.0,0.0
Bihar,Siwan,53.1,58.0,63.9,8.3,3.4,29.6,19.6,15.8,7.4,86.9,86.4,8.2,4135,48.0,47.7,99.8,95.3,38.9,11.4,0.4,44.1,4.6,30.8,36.7,18.2,18.1,23.3,61.0,30.3,21.1,0.0,0.2,0.0
Bihar,Supaul,60.7,56.1,63.6,6.8,6.8,14.1,11.6,39.3,5.0,79.4,80.4,14.2,1760,15.0,50.7,99.7,97.3,16.2,7.9,0.1,53.0,11.4,45.0,42.3,25.8,30.9,9.4,59.0,30.9,13.2,0.0,0.4,0.2
Bihar,Vaishali,63.1,66.8,77.1,8.1,6.5,19.6,17.4,15.0,3.9,84.8,81.6,13.5,2571,40.9,52.6,99.2,96.5,34.0,19.2,0.4,46.3,3.9,38.4,38.3,19.6,26.1,16.9,46.7,24.5,14.8,0.4,0.2,0.8
Chhattisgarh,Balod,56.4,48.6,68.3,4.8,4.6,27.7,25.1,1.3,1.2,99.2,97.4,79.5,1905,33.3,83.8,99.5,99.7,46.3,26.8,1.5,36.1,11.4,36.0,33.6,15.1,18.8,12.2,72.7,81.5,46.9,0.0,0.6,0.2
Chhattisgarh,Balodabazar-Bhatapara,61.2,56.2,67.8,4.9,3.1,27.9,22.6,4.7,3.0,86.2,78.1,66.1,2491,24.9,78.9,94.8,99.2,38.7,35.0,1.8,40.8,14.9,34.1,40.9,19.4,19.4,14.7,59.3,49.5,21.6,0.6,0.3,0.3
Chhattisgarh,Balrampur Ramanujganj,63.4,65.5,50.1,5.5,4.1,31.2,25.2,1.1,0.5,89.2,78.9,62.3,966,13.2,57.3,84.4,97.9,32.2,44.5,16.2,53.2,21.4,38.8,35.1,23.0,28.7,9.9,76.4,52.1,55.0,0.0,0.0,0.0
Chhattisgarh,Bastar,77.2,79.0,80.7,4.7,4.6,24.1,23.7,18.5,5.3,72.6,63.5,69.3,3279,31.6,61.0,94.1,96.8,25.3,41.4,18.5,55.8,36.4,45.2,48.1,20.4,34.9,8.7,57.3,55.1,31.1,0.2,0.9,1.0
Chhattisgarh,Bemetara,47.0,49.2,61.8,6.7,4.7,27.6,26.9,1.3,0.0,93.9,95.0,63.4,2515,18.9,80.5,98.8,99.7,33.0,29.0,0.7,40.2,10.6,27.6,38.4,16.4,21.0,14.9,77.4,54.6,54.6,0.0,0.5,0.0
Chhattisgarh,Bijapur,72.1,60.3,77.2,4.3,4.4,21.6,15.0,4.5,2.8,73.8,63.6,73.5,776,18.5,30.6,94.3,86.8,24.2,60.8,32.0,61.9,44.4,46.1,53.8,20.0,43.6,6.0,53.1,56.9,32.5,0.0,0.0,0.0
Chhattisgarh,Bilaspur,58.5,41.4,78.1,6.5,4.3,28.6,24.4,5.1,0.8,85.6,79.4,60.4,2344,42.2,80.5,93.6,98.6,37.4,33.9,2.6,40.0,11.5,28.0,25.7,24.0,27.2,17.1,52.5,46.9,30.0,0.3,0.3,0.2
Chhattisgarh,Dakshin Bastar Dantewada,76.0,63.0,89.9,7.4,5.8,23.7,19.1,2.4,1.0,88.7,90.5,82.2,710,34.6,60.5,95.1,95.9,24.2,49.8,21.4,55.7,38.1,45.8,45.6,19.4,25.9,6.8,65.3,68.2,27.5,0.5,0.9,0.5
Chhattisgarh,Dhamtari,59.6,,67.3,6.8,5.8,24.9,21.0,1.4,3.1,96.6,94.3,86.8,1601,30.9,89.8,99.1,99.9,40.9,32.9,2.8,38.0,14.1,28.9,30.5,17.9,18.4,12.7,61.2,70.4,56.8,0.3,0.3,0.0
Chhattisgarh,Durg,51.7,41.2,57.1,6.6,6.1,26.5,22.6,2.0,0.0,98.0,96.7,67.0,2451,76.3,89.5,98.5,99.6,52.7,32.0,0.9,36.6,7.2,27.7,38.9,16.9,12.5,23.9,71.1,69.9,46.5,0.4,0.5,0.8
Chhattisgarh,Gariyaband,64.6,55.3,73.9,5.0,4.0,25.6,22.6,1.6,4.8,84.9,87.6,79.8,1570,17.1,81.0,96.8,98.7,27.8,35.1,1.2,45.3,21.0,22.1,28.9,21.9,20.0,9.1,58.0,57.8,39.9,0.0,0.2,0.0
Chhattisgarh,Janjgir-Champa,66.3,60.0,74.1,5.1,4.1,28.3,21.6,6.2,2.1,91.6,86.2,74.0,2597,24.8,78.8,97.2,99.5,37.3,31.3,1.3,40.4,14.8,30.2,32.5,24.6,21.5,12.8,63.1,62.8,34.2,0.0,0.0,0.2
Chhattisgarh,Jashpur,61.5,54.5,54.1,5.3,5.0,34.4,28.5,1.3,0.0,78.6,85.6,80.6,1635,14.8,72.8,88.8,98.2,34.9,50.2,12.1,55.8,21.2,33.6,35.8,17.0,27.5,13.4,56.4,48.6,50.5,0.0,0.2,0.2
Chhattisgarh,Kabeerdham,43.6,35.6,67.5,5.9,5.6,26.5,24.0,0.0,0.0,93.4,91.7,72.1,1340,25.0,80.3,97.9,99.5,32.6,27.6,2.6,40.2,13.7,27.3,37.9,12.0,20.6,11.8,67.2,58.9,59.8,0.3,0.2,0.2
Chhattisgarh,Kondagaon,79.7,87.6,76.6,4.1,4.5,21.6,21.2,10.9,4.4,83.7,78.7,80.6,2137,12.4,79.5,98.8,97.8,24.7,41.4,18.3,48.3,28.6,42.2,37.6,22.8,31.3,6.1,69.4,64.1,39.5,0.2,0.0,0.3
Chhattisgarh,Korba,66.4,54.6,63.6,5.3,4.2,32.7,23.9,5.3,0.3,78.2,75.4,60.6,1943,35.5,73.3,82.2,97.9,37.1,33.4,3.7,42.6,18.6,27.9,34.7,14.7,24.4,16.2,49.7,49.3,26.5,0.8,0.9,0.5
Chhattisgarh,Korea,64.4,54.1,56.3,7.1,7.5,30.9,25.7,1.2,0.4,88.2,80.8,62.8,1348,30.2,73.3,87.6,97.6,37.0,39.5,4.7,44.4,17.5,31.8,32.1,18.1,25.1,17.3,69.7,70.0,59.6,0.5,0.5,0.9
Chhattisgarh,Mahasamund,63.0,56.5,75.8,4.4,4.1,21.4,17.9,5.1,2.4,96.3,92.9,76.2,2077,30.4,84.2,98.8,98.4,31.2,30.3,3.7,43.2,23.7,25.8,36.8,14.0,21.3,12.6,69.4,65.8,35.1,0.2,0.5,0.4
Chhattisgarh,Mungeli,54.5,50.3,62.0,5.4,4.8,29.2,26.2,1.2,0.0,83.2,69.8,68.0,685,22.9,80.7,98.0,99.7,32.2,26.1,1.2,37.6,13.7,30.6,30.1,17.7,20.9,17.5,73.3,67.3,60.3,0.4,0.2,0.6
Chhattisgarh,Narayanpur,72.0,57.2,86.8,5.4,3.9,21.1,18.8,4.6,1.6,82.5,74.2,83.1,797,19.5,52.8,90.5,90.1,26.5,49.7,24.7,51.3,32.7,39.5,43.7,21.5,28.1,5.7,60.1,59.1,40.5,0.0,0.0,0.0
Chhattisgarh,Raigarh,62.2,54.2,62.7,6.3,4.0,0.0,26.1,1.9,0.8,85.8,87.7,66.3,2137,29.8,66.3,97.5,99.0,38.3,33.0,3.8,43.6,19.1,28.0,39.1,14.9,26.9,14.9,57.7,55.4,58.0,0.0,0.0,0.0
Chhattisgarh,Raipur,59.1,37.1,74.6,4.5,4.0,20.6,17.7,3.4,3.8,95.8,90.7,76.9,1790,60.5,84.0,99.7,99.5,40.1,33.3,1.2,37.5,10.9,32.3,32.2,21.7,14.4,15.7,82.4,65.6,46.1,0.2,0.2,0.0
Chhattisgarh,Rajnandgaon,58.3,,80.5,3.9,4.9,28.3,27.7,2.9,0.0,96.8,95.5,80.8,813,27.4,79.2,98.8,99.3,38.9,35.1,1.7,47.3,19.0,31.0,27.6,19.4,25.9,12.8,79.8,76.1,52.7,0.0,0.0,0.0
Chhattisgarh,Sukma,78.4,65.8,91.4,4.5,4.3,18.1,14.5,4.9,1.8,84.8,81.2,78.1,473,14.4,35.5,96.0,98.3,15.9,54.2,32.2,61.7,44.5,37.4,41.8,21.2,34.5,3.8,58.9,74.0,27.6,0.2,0.2,0.2
Chhattisgarh,Surajpur,60.7,55.4,51.1,5.1,4.9,30.9,25.0,2.5,0.0,79.9,85.9,75.7,1184,24.0,75.4,83.4,98.7,30.7,43.4,7.4,50.4,17.7,32.3,27.6,19.3,29.5,14.7,55.3,48.9,56.3,0.3,0.6,0.3
Chhattisgarh,Surguja,58.3,46.4,51.4,5.0,4.3,37.5,28.5,2.6,0.3,89.4,85.3,65.1,1455,24.5,75.8,96.4,99.3,37.7,40.6,12.1,49.3,24.0,30.6,29.4,17.5,26.8,15.3,70.4,57.7,54.5,0.0,0.0,0.2
Chhattisgarh,Uttar Bastar Kanker,65.2,33.4,62.3,4.3,3.4,30.2,27.0,3.2,2.8,92.8,94.1,84.8,1509,25.9,80.5,98.7,99.4,40.3,31.9,5.2,39.4,16.5,36.1,24.8,24.5,25.5,6.8,78.1,77.9,56.2,0.2,0.2,0.2
Delhi,Central,44.6,,70.3,6.0,4.5,41.5,26.5,11.0,3.1,90.9,92.2,22.6,2313,98.8,77.0,99.7,99.8,57.1,19.8,0.3,27.8,3.4,25.5,33.5,13.5,10.4,44.8,70.4,73.1,62.2,1.1,1.5,2.5
Delhi,East,42.5,37.2,65.9,4.1,4.6,33.8,25.8,14.2,4.5,94.9,92.6,30.7,2735,99.1,78.0,98.4,99.5,57.2,19.8,0.4,25.0,1.5,29.9,35.2,15.7,11.9,41.3,85.7,89.7,76.7,0.2,0.1,0.0
Delhi,New Delhi,56.0,,72.9,4.8,4.0,33.8,25.8,6.3,5.2,92.8,91.8,25.2,2527,98.3,69.4,99.1,100.0,57.9,28.2,0.0,29.0,2.4,20.7,27.4,6.8,12.8,41.8,83.2,80.1,69.7,0.7,1.5,1.2
Delhi,North,47.2,48.4,67.5,5.8,4.0,32.9,21.3,12.7,5.7,91.3,89.7,18.1,2935,98.1,70.2,99.3,99.8,53.9,23.5,0.4,30.3,2.8,17.4,25.0,8.9,9.2,41.8,55.0,50.6,55.7,0.9,1.1,1.0
Delhi,North East,45.9,39.4,62.5,3.8,3.6,37.0,27.2,11.5,2.3,89.8,89.2,19.4,1991,99.7,89.5,98.2,99.9,59.8,14.6,0.2,24.1,3.1,21.8,38.7,8.8,9.6,43.3,81.6,86.2,78.1,0.0,1.0,0.0
Delhi,North West,51.4,40.6,73.6,5.9,5.0,29.9,24.1,10.8,8.8,95.5,94.0,28.2,2703,99.1,88.2,99.7,100.0,62.9,22.0,0.4,24.1,1.3,22.8,26.9,10.9,9.0,43.2,84.8,77.9,65.6,0.2,0.4,0.0
Delhi,Shahdara,49.2,,71.4,4.4,3.6,35.0,26.1,8.7,4.5,97.2,95.8,21.5,3703,99.8,83.4,99.8,99.9,58.4,18.1,0.7,24.6,1.8,30.2,32.9,21.2,11.0,42.8,80.8,88.9,67.8,0.4,0.8,0.4
Delhi,South,46.2,,65.4,5.8,4.8,30.4,22.3,9.5,0.9,90.0,82.0,28.7,2426,97.7,89.5,100.0,99.9,61.6,25.1,0.7,28.2,3.8,18.9,33.4,9.4,10.1,40.0,82.7,85.6,70.8,0.2,0.4,0.4
Delhi,South East,47.9,35.1,72.7,4.8,3.7,27.8,23.7,10.6,4.9,97.8,96.1,24.5,3186,99.1,83.8,100.0,99.7,65.5,19.5,0.8,20.8,1.6,20.4,21.7,14.7,7.7,33.0,84.2,83.2,78.8,0.2,0.6,0.5
Delhi,South West,56.4,44.2,70.1,7.4,3.8,26.5,19.5,6.9,9.2,93.0,92.5,37.7,2404,99.3,86.2,99.7,100.0,68.4,23.0,0.6,27.4,1.8,16.8,27.1,10.6,9.0,42.9,83.8,91.0,74.8,0.0,0.5,1.6
Delhi,West,57.2,49.2,68.5,5.2,4.5,34.1,23.8,10.7,7.3,93.9,91.8,21.0,1750,99.0,76.8,99.8,100.0,56.3,24.3,0.5,28.5,2.0,19.0,36.1,8.4,10.5,40.6,65.3,67.1,67.5,0.0,0.4,1.9
Goa,North Goa,40.0,0.0,55.2,9.7,7.9,28.3,27.3,3.6,1.5,98.6,99.6,64.8,3824,96.7,87.7,98.1,100.0,72.0,33.8,4.4,19.2,2.7,25.8,24.2,17.7,14.1,37.2,74.6,91.3,84.8,1.9,1.4,0.9
Goa,South Goa,37.6,0.0,50.0,11.1,9.4,25.0,27.7,2.5,0.0,100.0,100.0,67.7,3768,96.2,88.2,99.0,100.0,70.9,41.1,7.0,16.9,2.5,21.0,28.3,21.4,13.5,34.6,62.7,96.0,92.2,0.4,0.8,0.1
Gujarat,Ahmadabad,63.7,70.1,72.0,12.0,10.2,16.2,18.5,1.8,1.0,95.3,94.5,36.2,1279,89.7,86.4,98.7,99.5,42.7,3.6,0.3,33.4,6.2,34.0,35.5,17.5,19.4,30.1,73.5,77.8,69.0,0.0,0.0,0.0
Gujarat,Amreli,50.0,0.0,72.0,8.0,8.3,11.5,18.0,3.5,0.3,81.2,90.1,47.7,1648,65.6,73.3,97.8,99.6,27.2,1.6,0.4,53.7,5.0,30.6,35.3,23.7,18.3,29.1,93.9,92.6,73.8,0.4,0.2,0.6
Gujarat,Anand,66.4,0.0,78.4,8.4,9.8,26.9,26.6,11.7,0.0,95.2,96.0,36.2,2488,65.1,82.1,99.7,98.0,32.2,4.8,0.3,35.8,7.3,46.6,38.4,28.6,32.0,20.9,74.2,64.2,55.5,0.2,0.2,0.2
Gujarat,Arvalli,77.3,82.6,89.5,7.9,6.7,22.0,21.0,16.6,1.8,93.0,92.2,43.9,3666,47.9,56.3,98.5,96.5,34.7,5.2,0.3,45.8,9.6,47.2,47.1,29.0,34.4,18.1,62.6,73.8,56.0,0.5,0.7,0.3
Gujarat,Banas Kantha,60.0,68.6,79.0,8.9,7.6,15.7,14.3,7.7,0.0,92.7,92.9,41.0,1377,45.6,53.9,93.6,91.1,17.6,5.1,0.1,37.3,7.5,44.1,39.0,25.5,36.7,11.7,68.0,56.1,56.8,0.3,0.3,0.0
Gujarat,Bharuch,71.8,77.2,81.0,10.2,7.6,24.9,23.7,11.2,0.4,92.1,91.1,37.4,1724,60.2,77.7,97.2,98.2,31.5,7.5,1.1,35.1,11.2,45.5,40.9,24.5,30.3,25.5,63.4,65.7,38.4,0.0,0.5,0.2
Gujarat,Bhavnagar,49.4,56.2,71.5,6.8,8.8,18.0,20.1,11.1,1.8,96.0,94.2,32.2,1933,59.8,72.9,95.1,96.9,26.3,4.5,0.3,50.9,9.7,39.5,32.6,29.6,20.8,29.4,76.6,70.9,45.2,0.0,0.0,0.2
Gujarat,Botad,58.8,48.5,75.5,8.7,8.8,12.0,12.5,5.4,0.6,74.5,93.5,38.0,2027,63.0,72.0,99.2,99.3,22.0,1.3,0.4,48.9,5.3,32.3,32.2,26.0,19.6,27.3,82.3,82.7,54.6,0.0,0.5,0.8
Gujarat,Chhotaudepur,78.9,72.1,87.7,7.3,6.3,17.5,19.4,11.3,2.7,88.3,85.7,40.0,924,25.7,53.0,97.4,95.3,20.3,11.2,1.3,47.7,8.9,48.1,48.6,28.4,30.9,7.6,81.9,81.2,59.4,0.2,0.4,0.4
Gujarat,Dang,77.2,66.8,82.4,4.8,4.1,24.1,22.9,5.1,2.7,77.1,74.5,44.3,663,23.4,71.7,91.2,95.9,20.7,18.3,4.6,44.8,18.5,53.1,37.6,40.9,33.7,8.1,86.4,90.2,78.9,0.3,0.3,0.5
Gujarat,Devbhumi Dwarka,48.8,49.1,66.7,6.5,6.4,17.3,18.1,9.1,0.0,91.7,94.8,33.5,1463,61.2,73.4,93.9,98.7,15.8,2.6,0.5,60.6,24.2,36.2,30.2,26.1,22.4,24.1,84.1,76.6,29.1,0.0,0.4,0.0
Gujarat,Dohad,75.1,69.4,87.2,6.9,7.0,17.7,18.2,14.0,3.7,93.2,92.5,40.3,1516,26.8,35.9,91.0,89.3,23.1,14.2,0.9,55.9,14.6,53.0,55.3,27.8,39.1,6.5,75.2,70.9,65.0,0.0,0.0,0.0
Gujarat,Gandhinagar,68.8,57.4,81.2,8.4,8.7,29.3,23.9,15.0,0.4,89.3,97.8,29.7,2445,76.9,84.6,99.7,97.8,37.9,5.4,0.1,33.8,7.2,44.6,38.1,30.6,21.2,29.5,69.5,71.0,38.1,0.3,1.0,0.3
Gujarat,Gir Somnath,49.9,57.7,68.9,7.2,6.2,12.3,14.0,9.9,0.7,91.8,87.1,46.6,1194,46.8,74.3,98.2,99.5,30.8,5.2,0.4,60.7,18.9,30.3,44.4,18.5,24.8,17.3,79.2,80.7,53.5,0.2,0.4,0.0
Gujarat,Jamnagar,50.2,0.0,75.0,8.2,8.1,15.0,18.1,4.0,2.1,96.2,96.5,38.6,1150,81.6,86.6,99.7,98.9,35.3,1.3,0.2,52.0,7.7,28.9,28.4,23.8,17.3,29.5,91.7,73.8,52.5,0.3,0.3,0.3
Gujarat,Junagadh,58.8,57.3,74.7,10.1,9.2,20.8,23.3,7.5,1.5,97.7,97.4,47.3,1272,67.2,81.7,97.0,99.3,35.0,2.9,0.2,54.4,13.8,26.4,37.3,17.3,18.7,33.4,82.0,72.5,39.6,0.2,0.4,0.4
Gujarat,Kachchh,57.5,43.1,68.6,6.9,6.7,18.2,19.1,3.2,0.5,97.6,97.4,34.3,1793,67.2,85.8,96.8,99.2,24.1,2.7,0.3,38.7,8.9,33.4,37.5,20.2,28.1,25.7,88.8,84.2,74.3,0.0,0.4,0.0
Gujarat,Kheda,76.1,72.9,85.1,9.0,8.5,24.5,24.0,14.1,1.5,88.4,95.2,32.2,2371,48.0,63.3,97.7,96.9,24.2,6.1,0.5,45.8,13.5,39.5,37.3,30.9,32.2,17.8,64.0,61.2,42.4,0.0,0.0,0.0
Gujarat,Mahesana,69.3,62.9,86.0,12.1,9.7,27.0,22.6,14.6,0.5,91.6,97.3,40.7,5103,63.1,72.1,97.0,97.7,32.6,3.2,0.2,36.9,7.7,41.4,31.0,28.2,24.4,24.3,59.7,56.6,58.3,0.0,0.3,0.4
Gujarat,Mahisagar,72.5,56.5,85.9,7.3,7.0,14.7,16.3,14.4,0.9,92.7,93.0,46.0,2087,47.4,44.4,94.8,95.2,33.9,4.1,0.3,45.5,5.0,49.0,43.4,26.2,30.7,9.4,77.2,76.6,63.3,0.9,0.6,0.6
Gujarat,Morbi,50.7,50.1,75.3,10.4,9.7,15.1,18.4,3.7,0.9,96.4,94.8,34.4,1370,73.6,80.1,98.3,99.9,35.4,1.9,0.2,54.7,7.3,32.3,32.9,25.2,21.2,24.6,89.8,75.1,55.8,0.0,0.2,0.0
Gujarat,Narmada,75.9,75.6,93.2,6.6,6.3,20.8,19.2,7.5,1.0,84.2,81.7,51.1,753,31.3,54.6,96.8,92.7,22.6,11.9,1.2,48.8,14.6,52.8,47.2,23.0,30.7,11.1,81.7,83.4,65.1,0.0,0.0,0.0
Gujarat,Navsari,68.7,0.0,75.3,7.2,6.2,22.1,23.7,6.6,3.9,99.1,99.3,42.0,1188,70.2,80.1,97.4,98.7,47.7,11.8,1.4,29.2,9.0,43.6,36.8,29.0,21.8,18.7,93.4,94.7,79.1,0.5,0.5,0.2
Gujarat,Panch Mahals,69.8,74.0,91.0,8.6,8.2,27.6,22.5,13.7,0.9,84.2,88.4,34.0,2680,43.6,58.9,91.0,95.5,28.4,7.7,0.4,42.2,7.8,51.9,47.1,35.7,33.1,16.1,74.0,88.7,64.2,0.0,0.0,0.2
