State,District,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs
Bihar,Madhubani,436.0,85.0,13.0,3.0,1.0
Bihar,Munger,154.0,32.0,3.0,1.0,1.0
Bihar,Muzaffarpur,520.0,88.0,14.0,0.0,1.0
Bihar,Nalanda,367.0,65.0,8.0,2.0,1.0
Bihar,Nawada,173.0,45.0,8.0,1.0,1.0
Bihar,Pashchim Champaran,554.0,44.0,11.0,2.0,0.0
Bihar,Purbi Champaran,413.0,90.0,14.0,3.0,1.0
Bihar,Purnia,472.0,51.0,5.0,2.0,1.0
Bihar,Rohtas,255.0,48.0,6.0,2.0,1.0
Bihar,Saharsa,166.0,40.0,4.0,1.0,1.0
Bihar,Samastipur,358.0,59.0,12.0,4.0,1.0
Bihar,Saran,394.0,52.0,14.0,1.0,1.0
Bihar,Sheikhpura,75.0,15.0,2.0,0.0,1.0
Bihar,Sheohar,96.0,13.0,2.0,0.0,1.0
Bihar,Sitamarhi,208.0,45.0,13.0,1.0,1.0
Bihar,Siwan,379.0,53.0,14.0,1.0,1.0
Bihar,Supaul,173.0,29.0,6.0,1.0,1.0
Bihar,Vaishali,336.0,49.0,5.0,1.0,1.0
Chandigarh,Chandigarh,0.0,43.0,2.0,1.0,1.0
Chhattisgarh,Balod,196.0,30.0,6.0,0.0,1.0
Chhattisgarh,Balodabazar-Bhatapara,219.0,31.0,6.0,1.0,1.0
Chhattisgarh,Balrampur Ramanujganj,192.0,28.0,6.0,0.0,1.0
Chhattisgarh,Bastar,243.0,40.0,7.0,1.0,1.0
Chhattisgarh,Bemetara,127.0,20.0,4.0,1.0,1.0
Chhattisgarh,Bijapur,77.0,10.0,5.0,0.0,1.0
Chhattisgarh,Bilaspur,228.0,44.0,5.0,0.0,1.0
Chhattisgarh,Dhamtari,182.0,26.0,4.0,1.0,1.0
Chhattisgarh,Durg,221.0,30.0,8.0,1.0,1.0
Chhattisgarh,Gaurela Pendra Marwahi,76.0,15.0,3.0,0.0,1.0
Chhattisgarh,Janjgir-Champa,273.0,47.0,11.0,1.0,1.0
Chhattisgarh,Jashpur,259.0,35.0,8.0,0.0,1.0
Chhattisgarh,Kabeerdham,145.0,25.0,6.0,0.0,1.0
Chhattisgarh,Kondagaon,173.0,22.0,6.0,0.0,1.0
Chhattisgarh,Korba,285.0,39.0,6.0,0.0,1.0
Chhattisgarh,Mahasamund,227.0,31.0,5.0,0.0,1.0
Chhattisgarh,Narayanpur,63.0,8.0,1.0,0.0,1.0
Chhattisgarh,Raigarh,350.0,55.0,10.0,2.0,1.0
Chhattisgarh,Raipur,275.0,35.0,10.0,1.0,1.0
Chhattisgarh,Rajnandgaon,332.0,51.0,10.0,1.0,1.0
Chhattisgarh,Sukma,95.0,13.0,3.0,0.0,1.0
Chhattisgarh,Surajpur,209.0,36.0,9.0,0.0,1.0
Chhattisgarh,Surguja,204.0,28.0,6.0,0.0,0.0
Chhattisgarh,Unknown Districts Of India,594.0,89.0,17.0,1.0,4.0
Chhattisgarh,Uttar Bastar Kanker,249.0,34.0,8.0,1.0,1.0
Delhi,Central,1.0,70.0,0.0,4.0,8.0
Delhi,East,0.0,33.0,0.0,0.0,2.0
Delhi,New Delhi,1.0,72.0,0.0,1.0,2.0
Delhi,North,0.0,41.0,0.0,0.0,4.0
Delhi,North East,0.0,27.0,0.0,1.0,1.0
Delhi,North West,0.0,59.0,0.0,1.0,3.0
Delhi,Shahdara,0.0,36.0,0.0,0.0,6.0
Delhi,South,0.0,32.0,0.0,0.0,4.0
Delhi,South East,0.0,56.0,0.0,1.0,1.0
Delhi,West,0.0,59.0,0.0,2.0,4.0
Goa,North Goa,114.0,13.0,4.0,0.0,1.0
Goa,South Goa,105.0,15.0,2.0,2.0,1.0
Gujarat,Ahmadabad,211.0,122.0,17.0,3.0,0.0
Gujarat,Amreli,248.0,44.0,12.0,3.0,0.0
Gujarat,Arvalli,219.0,38.0,10.0,1.0,0.0
Gujarat,Banas Kantha,759.0,125.0,26.0,4.0,1.0
Gujarat,Bharuch,241.0,46.0,9.0,1.0,0.0
Gujarat,Bhavnagar,299.0,65.0,13.0,2.0,0.0
Gujarat,Botad,95.0,19.0,5.0,0.0,1.0
Gujarat,Chhotaudepur,310.0,51.0,12.0,0.0,1.0
Gujarat,Dang,68.0,10.0,3.0,0.0,1.0
Gujarat,Dohad,637.0,99.0,20.0,2.0,0.0
Gujarat,Gandhinagar,156.0,36.0,9.0,1.0,0.0
Gujarat,Gir Somnath,174.0,33.0,7.0,1.0,1.0
Gujarat,Jamnagar,210.0,45.0,9.0,0.0,1.0
Gujarat,Junagadh,237.0,46.0,9.0,1.0,0.0
Gujarat,Kachchh,442.0,77.0,16.0,3.0,0.0
Gujarat,Kheda,316.0,58.0,14.0,2.0,1.0
Gujarat,Mahesana,295.0,63.0,13.0,3.0,1.0
Gujarat,Mahisagar,225.0,36.0,8.0,1.0,1.0
Gujarat,Morbi,198.0,35.0,5.0,2.0,1.0
Gujarat,Narmada,174.0,28.0,3.0,2.0,1.0
Gujarat,Navsari,296.0,50.0,11.0,3.0,1.0
Gujarat,Panch Mahals,300.0,54.0,12.0,1.0,1.0
Gujarat,Patan,326.0,55.0,14.0,2.0,0.0
Gujarat,Porbandar,84.0,17.0,4.0,5.0,1.0
Gujarat,Rajkot,347.0,82.0,12.0,0.0,1.0
Gujarat,Sabar Kantha,281.0,49.0,12.0,2.0,0.0
Gujarat,Surat,343.0,105.0,20.0,2.0,0.0
Gujarat,Surendranagar,349.0,56.0,12.0,2.0,1.0
Gujarat,Tapi,241.0,39.0,6.0,2.0,1.0
Gujarat,Unknown Districts Of India,169.0,25.0,4.0,1.0,1.0
Gujarat,Vadodara,242.0,77.0,10.0,0.0,0.0
Gujarat,Valsad,363.0,58.0,10.0,2.0,0.0
Haryana,Ambala,106.0,22.0,5.0,2.0,1.0
Haryana,Bhiwani,139.0,26.0,6.0,3.0,1.0
Haryana,Charki Dadri,78.0,12.0,3.0,0.0,1.0
Haryana,Faridabad,61.0,26.0,2.0,1.0,1.0
Haryana,Fatehabad,131.0,23.0,7.0,1.0,1.0
Haryana,Gurugram,80.0,31.0,3.0,2.0,1.0
Haryana,Hisar,198.0,32.0,9.0,3.0,1.0
Haryana,Jhajjar,134.0,29.0,6.0,2.0,1.0
Haryana,Jind,173.0,27.0,7.0,3.0,1.0
Haryana,Kaithal,144.0,24.0,6.0,0.0,1.0
Haryana,Karnal,146.0,25.0,8.0,1.0,1.0
Haryana,Kurukshetra,117.0,17.0,7.0,0.0,1.0
Haryana,Mahendragarh,140.0,19.0,7.0,1.0,1.0
Haryana,Nuh,111.0,18.0,4.0,0.0,1.0
Haryana,Palwal,95.0,18.0,7.0,0.0,1.0
Haryana,Panchkula,46.0,9.0,2.0,0.0,1.0
Haryana,Panipat,89.0,18.0,7.0,1.0,1.0
Haryana,Rewari,114.0,19.0,5.0,1.0,1.0
Haryana,Rohtak,116.0,21.0,8.0,0.0,1.0
Haryana,Sonipat,164.0,33.0,7.0,1.0,1.0
Haryana,Yamunanagar,113.0,20.0,7.0,1.0,1.0
Himachal Pradesh,Bilaspur,124.0,37.0,8.0,3.0,1.0
Himachal Pradesh,Chamba,178.0,46.0,5.0,7.0,0.0
Himachal Pradesh,Hamirpur,153.0,32.0,2.0,5.0,0.0
Himachal Pradesh,Kangra,439.0,81.0,20.0,21.0,1.0
Himachal Pradesh,Kinnaur,35.0,25.0,4.0,1.0,1.0
Himachal Pradesh,Kullu,99.0,23.0,5.0,4.0,1.0
Himachal Pradesh,Lahul And Spiti,35.0,17.0,3.0,0.0,1.0
Himachal Pradesh,Mandi,339.0,82.0,12.0,13.0,1.0
Himachal Pradesh,Shimla,245.0,114.0,17.0,13.0,1.0
Himachal Pradesh,Sirmaur,148.0,46.0,6.0,5.0,0.0
Himachal Pradesh,Solan,182.0,43.0,7.0,7.0,1.0
Himachal Pradesh,Una,138.0,24.0,8.0,5.0,1.0
Jammu and Kashmir,Anantnag,139.0,65.0,5.0,0.0,0.0
Jammu and Kashmir,Bandipora,71.0,27.0,3.0,0.0,1.0
Jammu and Kashmir,Baramulla,188.0,86.0,7.0,0.0,0.0
Jammu and Kashmir,Budgam,136.0,70.0,9.0,0.0,1.0
Jammu and Kashmir,Doda,163.0,42.0,3.0,0.0,0.0
Jammu and Kashmir,Ganderbal,60.0,30.0,1.0,0.0,1.0
