State,District,Households,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card
Madhya Pradesh,Khargone (West Nimar),321996,184846,1348,3800,8703,4722,13996,10749,2758,32975
Madhya Pradesh,Mandla,221996,96437,2049,4105,9898,417,6218,5559,2259,3946
Madhya Pradesh,Mandsaur,232520,89696,990,2697,6313,1533,7345,9880,5689,24402
Madhya Pradesh,Morena,273276,85709,5044,6729,11386,2076,21802,8733,7670,11436
Madhya Pradesh,Narmadapuram,173717,90001,974,4830,8969,1697,17559,10926,5352,29524
Madhya Pradesh,Narsimhapur,208244,122437,799,2353,6303,868,9821,6656,4459,19944
Madhya Pradesh,Neemuch,125436,49892,509,2388,3670,1784,4981,4760,3346,12000
Madhya Pradesh,Panna,207410,90569,1534,3554,7104,533,5975,5694,2767,6955
Madhya Pradesh,Raisen,209225,111037,1008,1650,5500,722,12190,7328,6853,26623
Madhya Pradesh,Rajgarh,312191,143739,1257,2587,6786,784,6770,6848,3931,24818
Madhya Pradesh,Ratlam,218774,79528,789,3806,5558,770,5921,5984,4040,25700
Madhya Pradesh,Rewa,451923,211475,6318,18084,38536,8084,49512,22871,9941,13868
Madhya Pradesh,Sagar,384591,198597,1937,3842,8903,2160,11409,9221,9003,26611
Madhya Pradesh,Satna,390439,213855,4184,9953,18937,5233,23495,14905,10546,15481
Madhya Pradesh,Sehore,217050,100528,1600,2186,5760,1423,11097,8368,7051,31206
Madhya Pradesh,Seoni,292703,153286,1113,4492,11180,524,10744,8807,7266,8045
Madhya Pradesh,Shahdol,216750,85066,1782,6758,10493,2734,9479,8454,1988,4072
Madhya Pradesh,Shajapur,147913,63809,1211,2098,3828,2213,9806,5437,5944,21323
Madhya Pradesh,Sheopur,127875,64289,872,826,2667,523,6434,3820,4267,7992
Madhya Pradesh,Shivpuri,278359,95929,1694,2595,5667,836,12711,8325,5456,13301
Madhya Pradesh,Sidhi,228964,104994,2641,5384,12088,2139,14297,8239,3273,5291
Madhya Pradesh,Singrauli,197623,91341,2338,2580,5117,2062,7147,5992,3183,3193
Madhya Pradesh,Tikamgarh,261692,100628,2299,4021,7628,722,10899,9829,4260,9940
Madhya Pradesh,Ujjain,239825,104561,1211,3322,4889,2572,15316,8409,7676,39293
Madhya Pradesh,Umaria,119053,46295,1076,4390,5925,753,6318,4325,1673,2484
Madhya Pradesh,Vidisha,237607,122234,1337,2027,5039,760,13248,8089,10603,26633
Maharashtra,Ahmednagar,733945,194259,18731,39726,41696,16575,76651,69458,17138,45789
Maharashtra,Akola,256471,132092,3125,7986,11327,2275,21850,12028,1750,5965
Maharashtra,Amravati,438820,239215,5085,11465,16619,3226,29323,19637,2804,4255
Maharashtra,Beed,451311,132807,7511,16281,22167,3839,51228,27096,6018,4415
Maharashtra,Bhandara,230804,98563,7547,13169,13465,4353,19420,15053,2391,5441
Maharashtra,Buldhana,459981,206259,5813,16070,22011,3581,42719,21884,3235,13828
Maharashtra,Chandrapur,375621,160757,7619,22448,19605,7827,33434,31532,3222,15850
Maharashtra,Chhatrapati Sambhajinagar,437160,138033,7755,10967,10766,7419,37267,29206,5850,6395
Maharashtra,Dharashiv,297568,99062,6607,11314,16268,3337,28265,15787,3879,2721
Maharashtra,Dhule,285062,133028,4211,9201,11737,2513,22374,18753,2457,7175
Maharashtra,Gadchiroli,210013,87970,3699,7820,9835,1612,14127,9286,935,1964
Maharashtra,Gondia,247259,107892,4314,7617,9323,2368,13230,9119,1796,5302
Maharashtra,Hingoli,198682,74902,2226,4805,6737,752,14871,6494,1325,3412
Maharashtra,Jalgaon,629590,356959,7913,19277,26939,5832,44428,51682,4286,17572
Maharashtra,Jalna,303458,88553,4366,4785,7194,1935,29217,13557,3569,3502
Maharashtra,Kolhapur,575423,107368,21330,43246,40846,74530,79654,61314,19097,7985
Maharashtra,Latur,360602,141587,9336,21675,24077,5904,49316,24235,5034,47409
Maharashtra,Nagpur,369674,174937,19226,30625,23177,32341,34469,50650,5955,16045
Maharashtra,Nanded,480900,178746,8540,17763,22203,3325,49593,21849,3606,5862
Maharashtra,Nandurbar,288702,176950,2620,6400,8134,1344,15071,12248,1830,3268
Maharashtra,Nashik,675050,241846,17361,33699,30021,16261,53049,59152,16673,5275
Maharashtra,Palghar,326612,116936,7869,19562,15595,33510,30475,55494,6059,2744
Maharashtra,Parbhani,258608,91870,2236,4672,6888,1473,17499,9436,1946,5749
Maharashtra,Pune,695094,155720,29966,61820,38454,112671,120017,162731,37108,96631
Maharashtra,Raigad,385444,99297,11249,30759,27036,54794,45037,111900,12337,1139
Maharashtra,Ratnagiri,336151,65420,11883,18750,19423,25409,26616,45481,8515,1179
Maharashtra,Sangli,411888,83953,17906,24297,23908,26164,56563,42904,12805,4796
Maharashtra,Satara,509977,100409,15668,31039,38734,34304,64564,59045,16511,8393
Maharashtra,Sindhudurg,180815,37275,5897,9396,16318,6836,15505,22656,4609,678
Maharashtra,Solapur,589485,185769,12198,26409,29389,8090,64964,44607,9903,5480
Maharashtra,Thane,221773,72716,7243,21407,17654,34580,29108,52540,5510,1375
Maharashtra,Wardha,225903,95552,5178,11644,13251,6722,26108,27226,2746,6984
Maharashtra,Washim,216989,102278,2648,7641,8862,907,20023,8197,1412,3794
Maharashtra,Yavatmal,547546,308464,7267,18771,19560,4326,42751,26970,3712,14089
Manipur,Bishnupur,22729,3960,733,3218,4097,615,3747,2164,1271,359
Manipur,Chandel,18063,1092,120,718,3428,283,2763,1050,908,16
Manipur,Churachandpur,45008,8651,536,3247,6884,1448,7148,5291,1638,124
Manipur,Imphal East,55728,17704,919,7804,11620,2498,11026,7491,4392,1151
Manipur,Imphal West,62903,13350,1492,8289,12977,3241,13248,11490,6012,798
Manipur,Jiribam,5477,1788,87,314,535,135,468,442,43,10
Manipur,Kakching,15854,5692,244,888,1766,421,1559,755,585,271
Manipur,Kamjong,11200,358,46,336,1467,253,1198,164,236,27
Manipur,Kangpokpi,54287,1922,1197,1991,8455,1586,9016,3982,2062,69
Manipur,Noney,9555,751,146,1374,820,170,898,392,210,42
Manipur,Pherzawl,8976,1075,24,157,309,237,339,37,54,8
Manipur,Senapati,52486,1147,1046,1592,4830,2081,5689,2221,1720,95
Manipur,Tamenglong,34743,5720,922,2526,6342,1080,6150,1674,1440,40
Manipur,Tengnoupal,11258,1050,54,474,1770,106,2076,368,433,352
Manipur,Thoubal,22191,7765,208,1383,3798,356,3621,1000,990,362
Manipur,Ukhrul,28037,1041,272,1901,4568,1044,4468,573,970,61
Meghalaya,East Garo Hills,22435,5604,400,759,900,102,759,553,156,244
Meghalaya,East Jaintia Hills,22197,8908,371,588,807,486,2407,1214,238,124
Meghalaya,East Khasi Hills,128931,54337,1851,13523,20918,9251,20997,11541,10705,444
Meghalaya,North Garo Hills,29984,5875,791,1424,2072,246,1777,848,308,293
Meghalaya,Ri Bhoi,45228,13948,775,1853,3046,815,3156,1553,1445,341
Meghalaya,South Garo Hills,21856,4263,472,940,1445,214,1036,556,351,96
Meghalaya,South West Garo Hills,33042,9020,1123,2422,3006,343,2171,941,356,2608
Meghalaya,South West Khasi Hills,16990,7398,274,1044,1211,392,1336,208,469,72
Meghalaya,West Garo Hills,76626,20406,3491,5067,5392,882,4657,2473,895,381
Meghalaya,West Jaintia Hills,43805,22574,899,1972,2741,476,3578,1096,1179,108
Meghalaya,West Khasi Hills,42265,14390,432,1367,1791,587,2366,381,893,124
Mizoram,Aizawl,17812,1931,575,2215,2183,2352,2185,5535,733,200
Mizoram,Champhai,16099,1067,494,1850,1507,892,1495,3442,488,90
Mizoram,Kolasib,6394,826,153,500,553,147,514,1621,72,119
Mizoram,Lawngtlai,27033,2654,1115,2266,1525,570,1795,2961,665,293
Mizoram,Lunglei,18621,677,384,1274,1816,657,1844,3448,364,110
Mizoram,Mamit,15757,1475,607,1749,1824,349,1496,4002,245,251
Mizoram,Serchhip,7302,251,248,638,715,407,893,2157,251,177
Mizoram,Siaha,6587,217,285,786,780,502,718,746,64,77
Nagaland,Dimapur,32986,4360,567,4971,8137,2581,8470,14266,4966,77
Nagaland,Kiphire,10689,175,77,727,1176,39,461,82,101,36
Nagaland,Kohima,26353,1448,902,4904,7769,1041,6091,2128,3115,73
Nagaland,Longleng,7857,139,591,211,446,52,283,136,78,188
Nagaland,Mokokchung,24446,2144,175,2151,4415,642,3916,2842,1247,52
Nagaland,Mon,26388,930,377,2386,1648,190,937,701,151,53
Nagaland,Peren,12579,573,112,737,1137,180,1008,526,317,168
Nagaland,Phek,24220,333,499,2932,4022,506,2909,355,1003,47
Nagaland,Tuensang,22084,577,170,1411,1990,134,1225,203,115,42
Nagaland,Wokha,21529,1172,611,2815,3623,504,2858,451,539,86
Nagaland,Zunheboto,18935,906,240,3623,4303,421,3553,308,1180,69
Odisha,Anugul,280578,98240,11584,19752,18586,6361,27200,29668,4193,6457
Odisha,Balangir,405516,168974,3529,5780,12178,1904,10268,7512,1217,2437
Odisha,Baleshwar,507282,161039,10343,12920,23198,11742,34824,29149,11160,8673
Odisha,Bargarh,360771,139776,3366,4531,11032,3257,10661,12528,1836,8395
Odisha,Bhadrak,306735,91704,5430,24232,15035,9755,33103,21442,11644,6030
Odisha,Boudh,108931,36916,1155,1363,2998,342,2371,2315,339,1720
Odisha,Cuttack,448758,200267,9401,16712,32578,15141,33285,35918,3274,7843
Odisha,Deogarh,74410,27470,1118,1599,3976,521,2875,2663,272,1667
Odisha,Dhenkanal,272773,137365,3766,5981,12755,5587,11672,13732,1451,4424
Odisha,Gajapati,125989,75734,1451,2332,3208,533,2396,2266,573,524
Odisha,Ganjam,652975,326334,13084,13122,22025,7525,25528,26414,8322,6259
Odisha,Jagatsinghapur,247700,71591,6525,10372,18912,15845,22523,22026,2364,5513
Odisha,Jajapur,413305,188822,10592,19653,22800,17454,34272,33866,7830,5865
Odisha,Jharsuguda,87340,28628,1047,4895,4800,2846,6886,7335,1517,1713
Odisha,Kalahandi,383014,190217,2858,5730,11732,1983,9181,8070,1566,3968
Odisha,Kandhamal,164174,82387,1782,3228,6659,837,4692,3312,512,1164
Odisha,Kendrapara,325377,110703,7119,10614,19236,14503,27325,23019,1946,5528
Odisha,Kendujhar,368263,94046,5839,8953,15692,7258,15991,15335,3109,5535
Odisha,Khordha,402325,135332,9130,9542,17896,6708,16639,71235,44721,4468
Odisha,Koraput,287792,134083,2637,5315,8183,1639,6877,7329,3075,2233
Odisha,Malkangiri,128353,21856,1214,1684,3188,335,2578,2917,420,1510
Odisha,Mayurbhanj,600528,196333,8160,10331,24339,3890,20134,17453,2798,6463
Odisha,Nabarangpur,265620,98994,3426,2623,5957,1027,5169,4900,1067,2132
Odisha,Nayagarh,229999,103672,4026,4196,10775,2466,8826,10068,875,4495
Odisha,Nuapada,159341,48860,1855,2364,5363,687,4508,4149,641,2155
Odisha,Puri,325459,106916,9164,9504,16463,7419,16257,16860,1805,5895
Odisha,Rayagada,207700,120309,2018,2868,5542,3402,4989,5930,850,867
Odisha,Sambalpur,170914,69083,1950,3114,6783,2103,6847,8089,1317,5527
Odisha,Sonepur,147869,59550,1841,2012,5094,834,4472,5026,665,2679
Odisha,Sundargarh,348348,94496,5622,10965,14865,9380,16693,19405,3142,7602
Puducherry,Karaikal,33709,12322,2120,2695,4061,6900,5423,11810,915,178
Puducherry,Pondicherry,108068,40711,3255,6515,10136,23408,13021,36598,1749,1330
Punjab,Amritsar,342196,158405,24196,27496,24989,17579,45061,234041,17022,18823
Punjab,Barnala,77351,33233,2132,2848,3452,1495,15444,52260,9171,13913
Punjab,Bathinda,193315,86484,4768,8581,9789,3100,31686,116836,25342,23957
Punjab,Faridkot,147309,65381,12799,9799,9483,3834,31181,92086,18915,16909
Punjab,Fatehgarh Sahib,77602,36090,3859,5588,5887,4266,17625,54761,11401,10669
Punjab,Fazilka,249592,143619,5388,8554,10813,3111,33842,105373,18276,16314
Punjab,Ferozepur,326453,169992,12272,16919,18825,5599,56633,182424,27766,25502
Punjab,Gurdaspur,320487,143381,22767,32288,40425,11581,61816,231381,14766,23436
Punjab,Hoshiarpur,316026,124653,24685,34290,38563,17641,68758,227769,21068,10055
Punjab,Jalandhar,243193,118188,6509,13383,12918,15057,37925,198591,22564,10085
Punjab,Kapurthala,107191,46534,4912,8372,9504,5299,19808,88224,9499,6347
Punjab,Ludhiana,378448,181317,25563,38439,27097,61491,75421,264252,52111,20940
Punjab,Mansa,116780,52447,4682,4730,5166,1534,12998,55216,11453,14350
Punjab,Moga,195909,99231,5651,8693,9534,3800,34353,126102,22063,15684
Punjab,Pathankot,91662,39208,6063,12961,15814,5876,19969,56304,2870,1556
Punjab,Patiala,314266,152566,17565,20756,20224,14212,54274,203757,31998,31652
Punjab,Rupnagar,123885,38635,8354,15278,16496,8850,24663,85312,9770,5582
Punjab,S.A.S Nagar,80659,34970,6009,6993,7926,12411,11094,54761,8410,2573
Punjab,Sangrur,223224,93943,18576,12899,13546,8859,41077,138365,25508,34849
Punjab,Shahid Bhagat Singh Nagar,126230,56732,12303,8610,8963,6327,23194,94487,10409,5422
Punjab,Sri Muktsar Sahib,169813,87617,3821,7337,7590,2186,33350,90215,25248,12833
Punjab,Tarn Taran,251342,107849,11388,13704,15761,5485,36891,165495,12465,20750
Rajasthan,Ajmer,311000,77583,5650,9013,17623,8626,24002,21626,9051,20968
Rajasthan,Alwar,513384,158599,9422,27287,46877,12187,75424,93660,27658,77203
Rajasthan,Banswara,352093,55450,8176,7876,12099,4393,15134,14519,2625,5520
Rajasthan,Baran,211868,90409,2218,4080,6674,1996,14153,11771,7659,31418
Rajasthan,Barmer,464843,66274,8746,12057,19022,22721,38565,18334,15688,31703
Rajasthan,Bharatpur,343912,106955,3191,14675,26170,5532,42113,49333,13836,62502
Rajasthan,Bhilwara,389727,84611,2975,9238,14263,10167,21603,20673,8959,19443
Rajasthan,Bikaner,256741,61262,1878,4861,8286,3047,21387,16332,12245,24730
Rajasthan,Bundi,195654,71715,3204,3570,5766,2615,9369,7810,4231,21705
Rajasthan,Chittorgarh,274103,66548,1116,6081,9016,4654,14871,14234,7760,19021
Rajasthan,Churu,274894,37467,3496,8349,17080,5426,28039,26580,9285,27356
Rajasthan,Dausa,263893,76743,7441,11180,19901,7022,27931,19578,6754,22675
Rajasthan,Dholpur,173337,65830,1625,3540,5639,1656,12638,9607,3987,10696
Rajasthan,Dungarpur,295611,73463,6414,7186,11785,4003,14086,11563,2288,3177
Rajasthan,Ganganagar,284336,123336,8800,7385,11046,4630,36523,68495,21106,40829
Rajasthan,Hanumangarh,275571,83432,5872,6472,10423,4012,37299,58758,20606,46721
Rajasthan,Jaipur,526736,170194,6253,22792,38918,18542,63054,65727,34584,50467
Rajasthan,Jaisalmer,109631,38895,1068,2813,5944,943,10122,5351,3671,6958
Rajasthan,Jalore,324303,57863,14038,8213,8905,21708,31044,14104,22916,38332
Rajasthan,Jhalawar,260342,98721,2784,3843,7083,2267,10622,10850,5143,25966
Rajasthan,Jhunjhunu,317444,58236,8205,25945,50396,15780,71327,76627,14831,29980
Rajasthan,Jodhpur,457675,72454,19820,18203,33014,20280,57421,40676,23319,25084
Rajasthan,Karauli,250338,97042,2640,12088,20626,3095,27157,16641,5661,10002
Rajasthan,Kota,138124,61522,1521,2875,4113,3709,10496,7998,5580,18890
Rajasthan,Nagaur,512183,99914,5907,18213,35311,13073,55936,55324,24760,32048
Rajasthan,Pali,347265,93512,10802,11200,15557,21087,33154,23118,9642,21714
Rajasthan,Pratapgarh,177687,38832,740,1894,3205,849,5100,6415,3996,8559
Rajasthan,Rajsamand,220068,48499,4841,6431,8797,10536,14221,11502,6359,3153
Rajasthan,Sawai Madhopur,220876,75540,3353,8911,13685,2185,18668,12167,5100,16862
Rajasthan,Sikar,365116,77238,7104,20732,39519,17307,67665,57739,21746,55915
Rajasthan,Sirohi,168925,47887,4055,4752,6149,17607,14222,10869,4034,9178
Rajasthan,Tonk,233126,59506,2621,5823,10462,2787,17452,12053,7778,24606
Rajasthan,Udaipur,541055,128439,7352,14463,19374,12449,27120,28162,9808,6423
Sikkim,Gangtok,31842,5398,2138,6974,7363,2376,5484,4634,2498,150
Sikkim,Gyalshing,28028,2061,1216,3188,5347,644,3264,1869,1544,289
Sikkim,Mangan,7710,1068,432,1164,2012,452,1322,1081,728,23
Sikkim,Namchi,24214,1734,1284,3106,4165,1147,2953,2431,1539,716
Tamil Nadu,Ariyalur,220889,105176,1881,8667,10294,7024,12420,16950,2341,4544
Tamil Nadu,Coimbatore,297388,160660,7864,14080,9754,56266,24867,47398,12273,4396
Tamil Nadu,Cuddalore,477727,244807,8541,19468,20414,25209,27252,62357,11046,7335
Tamil Nadu,Dharmapuri,357631,143493,7796,15648,20556,12709,23734,29137,4604,5709
Tamil Nadu,Dindigul,423307,252462,5898,14445,18732,19134,22536,30083,5585,9441
Tamil Nadu,Erode,356212,204795,6003,13415,13069,17402,22868,39633,8591,9081
Tamil Nadu,Kanchipuram,477480,291466,7802,32791,23162,76656,48697,139495,14353,5516
Tamil Nadu,Kanniyakumari,239238,143475,5243,13554,17391,16620,25314,66999,6193,1447
Tamil Nadu,Karur,180706,104340,1876,5775,6036,7250,8291,16832,2555,2945
Tamil Nadu,Krishnagiri,388853,155756,8881,16384,21187,25773,23198,38836,5499,5957
Tamil Nadu,Madurai,407009,272120,5517,14690,20178,22610,21407,31655,4253,10440
Tamil Nadu,Nagapattinam,338424,202408,5132,9686,13722,15790,17446,42842,4084,3278
Tamil Nadu,Namakkal,343748,194969,4765,14839,14673,16736,25578,57595,7217,4943
Tamil Nadu,Perambalur,133627,53850,1738,3126,4099,2767,5201,11576,1321,320
Tamil Nadu,Pudukkottai,405512,202175,4679,11857,15184,11966,15465,32512,3829,5091
Tamil Nadu,Ramanathapuram,350609,185925,4685,8696,12883,8202,17059,30714,2837,2481
Tamil Nadu,Salem,544869,315819,7503,18409,19033,20364,28013,52490,12720,16199
Tamil Nadu,Sivaganga,391312,173920,6074,11860,17368,18149,19746,43941,3654,5451
Tamil Nadu,Thanjavur,436463,260269,4729,17285,19097,16782,30848,58375,5296,11798
Tamil Nadu,The Nilgiris,93012,57846,1537,5071,5546,6126,6501,3923,3209,3991
Tamil Nadu,Theni,388472,289073,3441,12230,14929,9255,22413,22794,2422,4354
Tamil Nadu,Thiruvallur,508539,289202,12958,31685,29142,81512,37572,128382,6600,9258
Tamil Nadu,Thiruvarur,260623,164409,2892,8766,12350,6209,12657,29334,2903,2332
Tamil Nadu,Tiruchirappalli,409033,207178,5555,19726,23691,19445,25413,47180,5179,9447
Tamil Nadu,Tirunelveli,527966,340352,6469,20553,24835,22446,28589,44608,6353,9111
Tamil Nadu,Tiruppur,322574,195355,7118,10613,7768,17576,18331,37659,10417,4730
Tamil Nadu,Tiruvannamalai,559895,254009,10530,17233,27312,17585,21910,43107,3620,5158
Tamil Nadu,Tuticorin,303337,187636,4762,13877,17558,12107,18254,29961,4281,3646
Tamil Nadu,Vellore,726929,436077,7967,30911,40192,40798,40289,94719,5368,26930
Tamil Nadu,Villupuram,700421,379849,7379,19463,25429,20558,28987,67076,7121,14808
Tamil Nadu,Virudhunagar,515486,361457,6824,21876,26854,28946,32409,42866,4222,7878
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,43461,9000,5000,2399,1708,18203,4140,5481,1384,152
The Dadra And Nagar Haveli And Daman And Diu,Daman,30285,5761,3526,2116,804,20815,5983,8500,1482,1872
The Dadra And Nagar Haveli And Daman And Diu,Diu,4344,319,90,115,229,839,967,1657,81,8
Tripura,Dhalai,210325,70711,12683,21282,23972,798,13485,12751,1501,2121
Tripura,Gomati,287938,104762,25115,25934,35091,1079,24731,17167,3095,3772
Tripura,Khowai,215459,91552,12862,18027,25532,553,17220,13913,1529,1083
Tripura,North Tripura,252686,80874,12831,14038,20581,1385,13297,12530,3042,1082
Tripura,Sepahijala,270965,107167,21788,23338,29299,833,21954,18477,2955,1976
Tripura,South Tripura,287792,89754,17955,23818,31047,1000,24783,13852,3579,1509
Tripura,Unakoti,123683,37140,6441,9241,12814,622,9295,8116,1330,906
Tripura,West Tripura,350526,125667,31394,39846,54266,2767,40896,36021,4317,2353
Uttar Pradesh,Agra,372905,107708,26541,48098,11531,25808,39224,100040,20329,57919
Uttar Pradesh,Aligarh,396002,159545,4468,11543,17703,4871,31087,40536,9116,48211
Uttar Pradesh,Ambedkar Nagar,319305,66891,7002,15108,19586,4115,31287,16336,9906,18094
Uttar Pradesh,Amethi,292177,84077,5027,8792,12415,8304,23565,16167,6523,12713
Uttar Pradesh,Amroha,210936,42354,10777,6635,3739,29205,18710,48802,3019,12003
Uttar Pradesh,Auraiya,207191,56029,10382,6281,7985,7456,11985,13786,3309,9866
Uttar Pradesh,Ayodhya,376770,96190,6631,14723,24577,6667,36174,21571,8448,16040
Uttar Pradesh,Azamgarh,606876,52409,20332,16671,21707,55009,61342,63789,7902,45285
Uttar Pradesh,Baghpat,161157,46368,17238,10716,4954,9265,14633,48330,2800,20608
Uttar Pradesh,Bahraich,524467,129077,15514,4623,7555,5475,18999,14339,4052,22359
Uttar Pradesh,Ballia,358280,155687,4755,19472,35937,6413,45558,15358,5322,15730
Uttar Pradesh,Balrampur,290246,97276,6062,3638,5757,4033,21471,10604,7322,11726
Uttar Pradesh,Banda,266622,108625,4039,5094,6785,1319,10896,8078,3223,20743
Uttar Pradesh,Barabanki,518293,152381,5988,8296,14057,2769,29586,21552,11152,49637
Uttar Pradesh,Bareilly,459428,188561,5911,9133,10107,5378,25110,28561,7873,36166
Uttar Pradesh,Basti,377649,89239,6696,14014,20227,7022,34868,17270,9838,18734
Uttar Pradesh,Bhadohi,187196,73791,4852,4371,6322,8525,18364,11402,4347,5325
Uttar Pradesh,Bijnor,489378,217060,12208,7153,9649,12291,36458,51102,3422,73450
Uttar Pradesh,Budaun,403177,115478,5100,5413,6913,4343,20971,18391,8361,30863
Uttar Pradesh,Bulandshahr,424093,171792,8169,13162,23646,10263,41502,62392,13669,68560
Uttar Pradesh,Chandauli,262593,138476,3391,8365,15132,2584,21424,10979,4315,8214
Uttar Pradesh,Chitrakoot,151240,50261,1084,3313,6106,575,11125,5565,3068,9448
Uttar Pradesh,Deoria,448073,70122,25161,21484,33277,72650,57126,22285,5708,14446
Uttar Pradesh,Etah,241868,55311,4076,5894,11768,2562,19968,12184,5452,18659
Uttar Pradesh,Etawah,213679,50058,19411,6687,11629,8607,14483,18853,3227,13896
Uttar Pradesh,Farrukhabad,246248,80237,3166,5223,10196,5740,17434,12996,5346,21832
Uttar Pradesh,Fatehpur,405391,151442,5301,6883,13721,5008,24557,14569,2795,18052
Uttar Pradesh,Firozabad,257484,86636,3815,7406,10869,3384,21268,30352,5518,18895
Uttar Pradesh,Gautam Buddha Nagar,42471,11551,4496,2504,3485,7630,6906,14783,3892,3299
Uttar Pradesh,Ghaziabad,106910,37498,11258,4675,6045,21090,16998,40061,5256,7552
Uttar Pradesh,Ghazipur,477191,102623,12066,18956,36032,11822,55363,27132,6620,28048
Uttar Pradesh,Gonda,523254,111796,7772,13070,22170,5038,42662,25166,12979,35107
Uttar Pradesh,Gorakhpur,569449,212513,14274,21603,34756,11801,61111,29401,8924,15591
Uttar Pradesh,Hamirpur,173890,57389,1620,4323,6559,560,8925,9043,6219,22853
Uttar Pradesh,Hapur,144562,46187,13044,12976,14122,15588,18399,43518,11875,26154
Uttar Pradesh,Hardoi,676777,136239,5982,10459,13781,2992,27228,44814,46404,47742
Uttar Pradesh,Hathras,199339,78235,12464,7450,11008,4109,24780,45420,4590,28742
Uttar Pradesh,Jalaun,211406,54029,8286,5391,7057,2962,14031,18762,5260,25462
Uttar Pradesh,Jaunpur,585443,119398,22799,21359,30076,45619,66649,40912,8955,43564
Uttar Pradesh,Jhansi,209435,42255,6843,5187,6639,2435,11047,16445,5321,51424
Uttar Pradesh,Kannauj,232933,51278,2935,5638,9461,1905,14493,13156,5433,23810
Uttar Pradesh,Kanpur Dehat,293813,109968,4305,7301,12250,5279,17929,18133,6709,18844
Uttar Pradesh,Kanpur Nagar,279719,90900,6752,4855,7237,15504,13822,15774,3239,16100
Uttar Pradesh,Kasganj,191433,47733,1416,2906,4893,1983,11223,6812,3467,14385
Uttar Pradesh,Kaushambi,242316,89076,5892,5715,8558,6487,12904,10689,2441,6911
Uttar Pradesh,Kheri,640628,240929,5899,8057,12195,1628,30707,27011,17127,61565
Uttar Pradesh,Kushi Nagar,543474,108530,6511,11067,17831,6640,43424,16070,9393,15718
Uttar Pradesh,Lalitpur,185248,25930,4486,2477,3745,951,7537,5887,3033,46148
Uttar Pradesh,Lucknow,276550,84997,5413,9882,15116,7284,20353,32840,6038,9473
Uttar Pradesh,Mahoba,127374,33111,1957,2664,3686,576,6017,4912,5680,21126
Uttar Pradesh,Mahrajganj,402270,58312,4071,8309,13628,2295,26468,14513,8610,19423
Uttar Pradesh,Mainpuri,258764,40364,9573,7248,12066,7083,15678,19708,4533,13977
Uttar Pradesh,Mathura,263587,99732,5091,8070,12636,6168,30704,50427,11629,34857
Uttar Pradesh,Mau,251204,65956,3908,11523,17043,7170,30865,13549,5225,10113
Uttar Pradesh,Meerut,252476,128685,3996,8819,12906,7351,28931,59213,10738,42425
Uttar Pradesh,Mirzapur,332438,155942,5757,11398,16584,4348,25744,19651,9038,15405
Uttar Pradesh,Moradabad,324496,152361,4339,6192,9593,4468,23330,25615,9424,35256
Uttar Pradesh,Muzaffarnagar,345478,150341,25431,7210,4604,14484,42994,82145,5866,47247
Uttar Pradesh,Pilibhit,296038,106565,6527,3004,6575,3607,14433,13195,4928,26620
Uttar Pradesh,Pratapgarh,481251,122752,6780,18176,29456,16907,53361,22676,10026,15525
Uttar Pradesh,Prayagraj,692126,252510,14424,26523,40885,18846,78060,48866,17176,26765
Uttar Pradesh,Rae Bareli,483727,157727,7344,13808,20622,4521,33846,23156,6388,20576
Uttar Pradesh,Rampur,298710,94068,11130,1522,1210,7813,8495,31531,2741,23413
Uttar Pradesh,Saharanpur,417413,180704,18023,8666,5979,16699,32613,105699,15841,68988
Uttar Pradesh,Sambhal,273701,70827,8517,5184,4462,11452,20907,31632,8457,35454
Uttar Pradesh,Sant Kabir Nagar,237845,63952,9080,6247,10145,5809,16811,10262,3934,8185
Uttar Pradesh,Shahjahanpur,381178,150073,6974,3511,6811,2408,17497,12234,5537,27700
Uttar Pradesh,Shamli,144207,50049,4016,2903,1671,2416,26043,23420,2401,17604
Uttar Pradesh,Shrawasti,176483,40461,3672,2328,3429,612,11074,6817,2776,10192
Uttar Pradesh,Siddharth Nagar,375814,90392,3215,5517,10748,2307,27921,14091,8262,13192
Uttar Pradesh,Sitapur,714152,201856,7810,10585,15744,2007,29362,19783,12999,33587
Uttar Pradesh,Sonbhadra,262282,109284,1808,2769,5910,2611,9175,8283,6370,10069
Uttar Pradesh,Sultanpur,335692,101325,8058,11108,18210,11795,37212,17849,8524,16430
Uttar Pradesh,Unnao,474003,129257,6082,9618,12492,3250,20719,17838,5928,23702
Uttar Pradesh,Varanasi,334718,130287,9008,16238,25113,13137,39605,34944,6994,8426
Uttarakhand,Almora,124179,3764,5080,6891,14387,10215,12763,8940,985,1639
Uttarakhand,Bageshwar,53137,2239,2066,3146,8218,6486,6626,5471,747,458
Uttarakhand,Chamoli,66436,1904,2012,4039,13646,2944,9915,4517,973,784
Uttarakhand,Champawat,43500,2638,2236,2850,4733,1983,5479,5840,799,709
Uttarakhand,Dehradun,155457,34633,13303,26059,32575,24264,41038,83865,11607,7025
Uttarakhand,Haridwar,209604,109693,7526,8416,9113,15036,20451,49743,8751,21397
