State,District,Households,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card
Bihar,Banka,397367,182502,13418,9069,10970,4544,19944,14920,2909,9172
Bihar,Begusarai,508862,333491,6592,12376,19662,4116,32309,9326,7487,15874
Bihar,Bhagalpur,485762,300874,8192,15476,24136,3182,37508,16601,13368,8529
Bihar,Bhojpur,426775,242116,6776,17971,31068,7008,41690,6777,4054,12650
Bihar,Buxar,241661,126929,3840,9846,15366,3999,25866,6054,3465,8719
Bihar,Darbhanga,977418,602815,11374,21618,33439,18481,48845,19323,6987,12636
Bihar,Gaya,665944,326817,15465,19378,24836,7204,46673,19425,6368,22730
Bihar,Gopalganj,394660,109615,6471,10901,15654,15623,39086,9521,6077,10313
Bihar,Jamui,292670,125886,5295,5882,8648,1728,16247,10672,2377,7164
Bihar,Jehanabad,170675,94849,5153,9609,13519,1648,17621,4474,1701,6998
Bihar,Kaimur (Bhabua),237393,125439,3243,7103,10801,1757,21724,10635,7683,13541
Bihar,Katihar,650044,423243,10469,11583,16341,2625,29076,20812,5218,12700
Bihar,Khagaria,390899,266626,4765,9606,13649,2223,21051,10470,3867,7681
Bihar,Kishanganj,308989,204893,6734,4395,4740,980,7368,7417,1446,5526
Bihar,Lakhisarai,141284,81860,3862,4414,6057,1278,9275,2587,956,2876
Bihar,Madhepura,529361,248725,6334,11037,18723,2845,21087,22027,6045,10028
Bihar,Madhubani,1029016,510910,14351,21646,32561,34717,62842,16345,5327,14047
Bihar,Munger,233134,158142,2689,15783,19537,907,22182,5619,3112,2841
Bihar,Muzaffarpur,1008082,530692,14762,27083,37165,15681,66062,29027,10628,23259
Bihar,Nalanda,474078,268922,8776,19870,29042,2038,43202,11307,4799,15128
Bihar,Nawada,356367,200559,6103,9618,14164,1779,21837,9615,3138,7936
Bihar,Pashchim Champaran,746302,427122,7473,13215,16802,2274,42121,16398,12202,20674
Bihar,Patna,695003,457560,11424,29398,34000,22484,50929,20851,5319,14779
Bihar,Purbi Champaran,961567,550950,13210,16081,17927,14692,57527,26555,10921,27862
Bihar,Purnia,733082,442853,10802,10956,12154,2240,27876,14462,5994,15851
Bihar,Rohtas,409379,216882,8226,15329,21531,5688,41236,18281,9102,19863
Bihar,Saharsa,401095,236352,6916,10310,15269,2288,19780,8072,3410,4905
Bihar,Samastipur,949588,502186,15759,27851,41756,17767,63003,18785,8995,28874
Bihar,Saran,601329,214186,11570,24752,37559,9625,59188,18156,7672,7893
Bihar,Sheikhpura,92132,53494,1720,3064,4646,284,7201,1657,1164,1614
Bihar,Sheohar,151903,93303,2388,2629,3643,730,7317,1520,1300,2663
Bihar,Sitamarhi,852415,490033,10575,17291,23071,8122,53074,16108,6879,16229
Bihar,Siwan,534103,161137,7813,18123,25570,14739,67543,15371,8193,10509
Bihar,Supaul,525924,278964,18662,8035,13384,1869,22199,12610,4886,12745
Bihar,Vaishali,650211,402513,6868,20668,30364,6590,49788,9914,6524,10425
Chandigarh,Chandigarh,15657,2690,1182,1779,1994,7139,3492,7373,896,50
Chhattisgarh,Balod,152116,39152,1045,3672,9808,438,7948,6233,2292,6805
Chhattisgarh,Balodabazar-Bhatapara,261235,97038,1600,3390,7918,2532,7490,8194,3011,5613
Chhattisgarh,Balrampur Ramanujganj,160326,42604,761,1343,5804,239,2902,3857,1181,1786
Chhattisgarh,Bastar,166813,51380,703,2514,7948,808,4297,4513,1241,1510
Chhattisgarh,Bemetara,146246,57471,485,1372,4212,317,4188,4496,2680,9426
Chhattisgarh,Bijapur,49523,7490,171,421,2108,110,1433,869,196,217
Chhattisgarh,Bilaspur,351453,187283,2166,11902,19245,4367,16934,20342,5309,4489
Chhattisgarh,Dakshin Bastar Dantewada,48774,6097,216,714,2260,46,1557,1683,261,338
Chhattisgarh,Dhamtari,153712,60320,1846,3626,10494,1075,8598,6763,2485,5553
Chhattisgarh,Durg,126436,60525,638,3159,5536,2586,6387,6403,2383,7113
Chhattisgarh,Gariyaband,141996,71938,570,936,4848,133,2466,3518,815,1619
Chhattisgarh,Janjgir-Champa,343006,149794,1485,4946,13963,2078,9892,13287,2533,5078
Chhattisgarh,Jashpur,184116,42705,1744,3815,10019,436,5146,5147,1566,1989
Chhattisgarh,Kabeerdham,132735,60479,471,569,3854,90,3422,2315,1372,4159
Chhattisgarh,Kondagaon,110488,13751,795,2761,5099,153,2046,3568,813,1028
Chhattisgarh,Korba,188215,88259,1016,6790,9669,2229,8095,6504,1140,1263
Chhattisgarh,Korea,110729,37348,1384,4079,7488,223,5401,5613,926,1783
Chhattisgarh,Mahasamund,244772,113756,973,2567,8251,773,5811,7064,2423,5388
Chhattisgarh,Mungeli,147551,77230,665,986,4074,244,2542,2468,915,2904
Chhattisgarh,Narayanpur,17324,1712,81,126,882,103,330,629,154,81
Chhattisgarh,Raigarh,317906,136758,994,5916,14740,3958,10584,11685,3831,8634
Chhattisgarh,Raipur,181025,96948,822,3252,6728,6028,6948,8814,2746,3656
Chhattisgarh,Rajnandgaon,265771,73892,1410,3502,10979,1857,7613,7668,3061,8873
Chhattisgarh,Sukma,54071,5964,226,371,1395,29,687,897,141,239
Chhattisgarh,Surajpur,162311,37661,2121,6854,9795,522,8190,5790,1766,3356
Chhattisgarh,Surguja,165025,42079,622,2651,7296,180,4349,2734,1220,2757
Chhattisgarh,Uttar Bastar Kanker,145946,32524,1177,4991,10597,310,7042,5583,1220,2611
Goa,North Goa,162161,18835,15189,38220,27805,67278,51150,119205,38712,773
Goa,South Goa,114059,14354,11055,21701,12039,50998,28091,78464,21731,581
Gujarat,Ahmadabad,440855,211762,22130,38954,9393,58748,45424,81495,25438,4921
Gujarat,Amreli,243383,100858,14191,9665,7333,2570,33338,62952,8259,12244
Gujarat,Anand,312769,149209,25478,10907,8460,16071,22875,44519,7080,4393
Gujarat,Arvalli,186648,36633,19504,10748,12565,2793,18757,22705,5948,3556
Gujarat,Banas Kantha,518267,156124,42085,15725,17721,7834,50162,39827,35128,10804
Gujarat,Bharuch,228924,114499,16916,15435,6791,27292,27270,61953,8749,2653
Gujarat,Bhavnagar,245427,95499,22542,15759,5445,3206,37520,34361,4594,17283
Gujarat,Botad,91107,41013,6648,2559,1759,2841,8974,17860,2423,3197
Gujarat,Chhotaudepur,197218,45566,31007,6914,5230,2306,10827,11844,2908,3357
Gujarat,Dang,44869,12946,1699,997,1613,214,2868,1588,1050,221
Gujarat,Devbhumi Dwarka,88598,27010,9255,3454,2136,2241,6973,6636,2631,4190
Gujarat,Dohad,337849,16831,21414,12838,14086,1890,15954,14097,2915,3021
Gujarat,Gandhinagar,510380,225495,34216,46846,31066,60096,63519,155780,40877,5150
Gujarat,Gir Somnath,140697,63867,30896,8923,3707,2909,21898,15577,4358,5330
Gujarat,Jamnagar,119682,43284,17238,4512,2838,1542,12613,27776,3280,14316
Gujarat,Junagadh,186867,67945,7505,5041,5283,1134,21320,42519,3358,7399
Gujarat,Kachchh,275000,131394,18187,14147,7680,21179,27673,52889,11431,2441
Gujarat,Kheda,332510,144686,11751,8312,10324,7678,19548,31118,5106,2881
Gujarat,Mahesana,384368,150613,23982,19327,19347,21823,37079,100716,13661,4516
Gujarat,Mahisagar,180188,23210,7305,10049,13723,1613,14612,12053,2261,3642
Gujarat,Morbi,132389,50926,18464,6518,2945,3803,16919,37237,6604,7391
Gujarat,Narmada,112093,62208,5275,3722,4856,1017,6413,6736,1066,561
Gujarat,Navsari,220329,77351,16681,14098,10962,24488,21255,53099,10150,3579
Gujarat,Panch Mahals,273124,52841,24690,9735,10842,7583,13878,14038,2905,2336
Gujarat,Patan,214617,99941,12532,5844,6147,3195,16286,20835,6489,2889
Gujarat,Porbandar,63747,25245,7206,2459,1599,601,6846,6722,1462,1973
Gujarat,Rajkot,265412,97524,32665,13198,6265,10825,37889,91691,9262,19393
Gujarat,Sabar Kantha,248742,73013,17151,12503,15714,7063,27281,48204,10904,8878
Gujarat,Surat,297484,127646,25704,15847,9032,50364,36812,81681,15262,6892
Gujarat,Surendranagar,214633,96430,9502,4753,5333,3317,19851,24715,6735,5176
Gujarat,Tapi,167292,84997,20539,10850,7094,3477,11877,14956,2760,1727
Gujarat,Vadodara,377757,133028,20017,9486,5329,41596,128753,95524,39989,14612
Gujarat,Valsad,276071,63965,23534,16605,10145,61769,25461,68238,10052,5836
Haryana,Ambala,115984,57667,7180,5777,8008,4937,17131,48902,5987,8021
Haryana,Bhiwani,259221,84725,12539,14326,23922,8968,38750,89756,15766,25497
Haryana,Charki Dadri,84139,23300,4066,6279,12886,1998,17276,35696,5492,10052
Haryana,Faridabad,72702,26440,6045,5676,5364,14556,11932,31981,7190,1606
Haryana,Fatehabad,180079,77626,9253,7758,8381,3617,28357,65752,15432,25046
Haryana,Gurugram,103961,27427,12119,12003,12472,23803,22855,56949,12582,7001
Haryana,Hisar,366279,122784,24608,23555,32423,8326,59524,126192,27470,39277
Haryana,Jhajjar,134542,35831,22723,20359,22827,9363,28312,65919,9536,11609
Haryana,Jind,189473,68915,11941,13044,14189,3772,28462,68074,8034,27385
Haryana,Kaithal,179128,79350,3959,6593,8847,2987,25451,65885,9093,23035
Haryana,Karnal,218907,109496,7233,8881,10373,9264,27466,77433,10902,21430
Haryana,Kurukshetra,148861,75131,8108,7070,9080,5253,26823,69941,10949,15629
Haryana,Mahendragarh,150796,42596,12179,14040,25441,7274,32475,52007,6829,11906
Haryana,Nuh,145779,59881,7738,3671,4095,4877,11712,30855,7141,5314
Haryana,Palwal,149034,57491,5701,7563,10918,13042,18590,44543,6931,9276
Haryana,Panchkula,36370,13975,1446,1936,2978,2655,4529,14448,1748,561
Haryana,Panipat,123785,55781,25038,8648,9658,9511,17578,48552,5780,6849
Haryana,Rewari,138581,43173,8389,14641,23837,11295,32203,60296,8173,11178
Haryana,Rohtak,129787,37419,15406,13605,18191,6425,22161,62797,6585,12859
Haryana,Sirsa,210552,88258,14413,7432,7355,3476,34891,81229,24844,34739
Haryana,Sonipat,185143,64464,26044,19405,22062,15107,31448,81172,9744,13459
Haryana,Yamunanagar,138559,72060,7633,6910,8280,4401,18532,49888,7389,11403
Himachal Pradesh,Bilaspur,72905,3101,4697,7991,17781,7626,20963,34171,5570,5150
Himachal Pradesh,Chamba,92274,3023,11012,15653,21896,3180,17632,23671,3558,4473
Himachal Pradesh,Hamirpur,96745,5080,10176,12064,27610,19417,33308,54862,5384,3550
Himachal Pradesh,Kangra,298789,29764,30011,32609,71125,32811,76728,167893,17963,8233
Himachal Pradesh,Kinnaur,18287,837,1222,1867,4715,1059,4459,3139,2214,3243
Himachal Pradesh,Kullu,141361,8266,7146,9668,22747,3720,26510,33203,13098,6351
Himachal Pradesh,Lahul And Spiti,6177,303,375,564,2313,71,1744,259,595,718
Himachal Pradesh,Mandi,195389,7876,12675,16373,48900,12482,47920,61694,10388,10830
Himachal Pradesh,Shimla,123783,3299,5591,10308,28578,4450,29681,34936,11973,12708
Himachal Pradesh,Sirmaur,83489,7739,4398,4580,15242,5737,15314,23030,3660,6457
Himachal Pradesh,Solan,91011,4844,8813,10929,18672,15363,18649,43913,11628,5193
Himachal Pradesh,Una,98627,9228,14299,11654,19466,14349,24010,61283,6612,4536
Jammu and Kashmir,Anantnag,252507,41835,7826,21276,51172,3451,47483,23903,16363,1260
Jammu and Kashmir,Bandipora,108412,15526,2760,9008,19755,1018,17848,5838,3730,506
Jammu and Kashmir,Baramulla,175909,32455,3265,14004,32999,1988,30605,14300,9597,1075
Jammu and Kashmir,Budgam,127154,19804,2583,8285,23804,2665,22466,15450,8170,457
Jammu and Kashmir,Doda,113479,1328,3645,5835,20752,727,16783,7307,1380,406
Jammu and Kashmir,Ganderbal,65249,8731,974,3642,12856,453,10188,5766,2888,256
Jammu and Kashmir,Jammu,209537,38175,15018,30195,56981,12717,58254,122198,11423,3724
Jammu and Kashmir,Kathua,121623,18030,6400,12840,25990,3386,24023,44385,3204,1240
Jammu and Kashmir,Kishtwar,81082,3907,4492,4867,15842,1656,11616,7981,1331,536
Jammu and Kashmir,Kulgam,72849,8275,1372,3751,10818,335,9396,1886,1875,703
Jammu and Kashmir,Kupwara,309009,31811,5584,24839,54232,1447,45093,12577,8069,867
Jammu and Kashmir,Poonch,160162,4911,10088,14523,23344,1439,21395,8818,2022,769
Jammu and Kashmir,Pulwama,80045,11253,2396,6509,16994,1054,15166,7587,5319,581
Jammu and Kashmir,Rajouri,211003,3204,14953,23233,43237,1237,37491,36083,4666,1920
Jammu and Kashmir,Ramban,104666,4426,3811,7046,14874,815,11744,4609,1260,314
Jammu and Kashmir,Reasi,81959,2264,2586,5480,9874,2369,8784,12943,1725,375
Jammu and Kashmir,Samba,65247,9346,4369,11561,22135,5046,21076,44823,3930,415
Jammu and Kashmir,Shopian,40552,3464,429,1639,4912,221,5794,1879,2363,268
Jammu and Kashmir,Srinagar,4405,415,344,814,600,358,782,1410,446,175
Jammu and Kashmir,Udhampur,107932,6373,6940,10629,20752,2093,19141,26575,2884,1895
Jharkhand,Bokaro,280747,57724,7636,28331,28210,6828,31793,26082,4384,2290
Jharkhand,Chatra,175409,43286,3066,5320,5160,1668,8730,6699,1611,3526
Jharkhand,Deoghar,214920,29850,4768,5890,8232,1669,9399,6411,1316,3588
Jharkhand,Dhanbad,262223,70345,14830,35551,30506,9502,39265,31689,3934,2667
Jharkhand,Dumka,265344,44350,3491,6603,11292,1139,10271,8599,1718,3882
Jharkhand,East Singhbum,428965,157058,13150,35688,21681,31567,54158,67749,8939,13208
Jharkhand,Garhwa,230323,43005,2646,4909,7024,5286,10038,8574,2163,4215
Jharkhand,Giridih,395150,60628,7044,13828,19357,5278,25180,14615,4396,4664
Jharkhand,Godda,241745,81586,5734,8233,10133,1444,15148,7451,1842,5308
Jharkhand,Gumla,179972,24724,3815,5566,7531,1510,16948,5089,2290,4022
Jharkhand,Hazaribagh,288898,43196,6125,15194,14036,5678,24821,17703,5707,5233
Jharkhand,Jamtara,138973,22481,1741,3753,5385,462,4416,3855,664,1730
Jharkhand,Khunti,96784,8328,2435,2152,3163,597,2885,2981,601,1454
Jharkhand,Koderma,106100,21510,1779,3257,4394,2244,6820,4091,1353,1897
Jharkhand,Latehar,132160,16825,3255,3477,4411,990,5607,4274,1084,1612
Jharkhand,Lohardaga,80332,9135,1448,2750,2999,633,3197,3550,528,2583
Jharkhand,Pakur,179676,67865,2047,2132,3551,626,4505,2911,745,1498
Jharkhand,Palamu,326389,83238,5268,11027,15439,2981,26659,10119,6082,10282
Jharkhand,Ramgarh,157331,35249,6646,27306,16686,6859,30061,22449,5179,1965
Jharkhand,Ranchi,390946,71839,10456,23293,21124,14225,41409,29781,15260,10395
Jharkhand,Sahebganj,249518,119277,5125,3848,5451,810,8959,3231,1187,3352
Jharkhand,Saraikela Kharsawan,164571,44246,7314,8743,4717,12463,16332,9093,1935,9311
Jharkhand,Simdega,110578,13002,1013,2605,2776,367,7430,1912,1060,1647
Jharkhand,West Singhbhum,254236,101902,8947,8511,3481,11274,22357,11336,2105,10811
Karnataka,Bagalkote,227155,19462,7736,14577,10912,6548,19604,5650,6899,22092
Karnataka,Ballari,263414,42707,6453,35375,7226,11053,16024,12249,6295,6063
Karnataka,Belagavi,639084,130478,28630,39234,28936,25835,38871,24867,16010,11927
Karnataka,Bengaluru Rural,150075,20004,5985,22859,4905,21754,10738,14162,5612,2672
Karnataka,Bengaluru Urban,203211,82515,8003,16588,5782,66851,19328,34989,9222,2637
Karnataka,Bidar,234836,49955,14595,39858,7759,5909,34439,10864,2068,10660
Karnataka,Chamarajanagara,190314,71578,5057,7533,5216,3610,7554,7267,1596,2595
Karnataka,Chikkaballapura,207845,60400,4752,6183,5858,3976,8397,7797,3654,2106
Karnataka,Chikkamagaluru,201131,36278,7521,19170,8039,4193,17791,11187,9483,3379
Karnataka,Chitradurga,273351,37567,7400,14829,11157,3745,14986,8562,4570,6470
Karnataka,Dakshina Kannada,248415,71195,11396,40889,11136,21634,30901,48559,17292,8335
Karnataka,Davangere,269217,22977,7847,30648,10896,5091,18976,7617,8945,7846
Karnataka,Dharwad,159015,22230,3618,9416,6577,6133,7436,2973,8804,2797
Karnataka,Gadag,134644,31458,3281,5097,6240,2013,8784,2629,4202,3441
Karnataka,Hassan,349347,27229,11359,37303,14421,8895,19180,13670,9766,4838
Karnataka,Haveri,250395,82535,7398,11275,8698,3396,17360,6651,5701,4212
Karnataka,Kalaburagi,310696,100765,9893,36958,8597,16673,67280,13542,3905,10290
