State,District,Households_x,Population,Literacy_Rate,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs,Households_y,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Gujarat,Bhavnagar,538605.0,2880365.0,65.52,49.4,56.2,71.5,6.8,8.8,18.0,20.1,11.1,1.8,96.0,94.2,32.2,1933.0,59.8,72.9,95.1,96.9,26.3,4.5,0.3,50.9,9.7,39.5,32.6,29.6,20.8,29.4,76.6,70.9,45.2,0.0,0.0,0.2,299.0,65.0,13.0,2.0,0.0,245427.0,95499.0,22542.0,15759.0,5445.0,3206.0,37520.0,34361.0,4594.0,17283.0,258.0,25556.448,18643.9706
Gujarat,Botad,,,,58.8,48.5,75.5,8.7,8.8,12.0,12.5,5.4,0.6,74.5,93.5,38.0,2027.0,63.0,72.0,99.2,99.3,22.0,1.3,0.4,48.9,5.3,32.3,32.2,26.0,19.6,27.3,82.3,82.7,54.6,0.0,0.5,0.8,95.0,19.0,5.0,0.0,1.0,91107.0,41013.0,6648.0,2559.0,1759.0,2841.0,8974.0,17860.0,2423.0,3197.0,65.0,3442.8485,2922.3292
Gujarat,Chhotaudepur,,,,78.9,72.1,87.7,7.3,6.3,17.5,19.4,11.3,2.7,88.3,85.7,40.0,924.0,25.7,53.0,97.4,95.3,20.3,11.2,1.3,47.7,8.9,48.1,48.6,28.4,30.9,7.6,81.9,81.2,59.4,0.2,0.4,0.4,310.0,51.0,12.0,0.0,1.0,197218.0,45566.0,31007.0,6914.0,5230.0,2306.0,10827.0,11844.0,2908.0,3357.0,95.0,3674.4947,2442.265
Gujarat,Dang,,,,77.2,66.8,82.4,4.8,4.1,24.1,22.9,5.1,2.7,77.1,74.5,44.3,663.0,23.4,71.7,91.2,95.9,20.7,18.3,4.6,44.8,18.5,53.1,37.6,40.9,33.7,8.1,86.4,90.2,78.9,0.3,0.3,0.5,68.0,10.0,3.0,0.0,1.0,44869.0,12946.0,1699.0,997.0,1613.0,214.0,2868.0,1588.0,1050.0,221.0,18.0,1016.0955,228.0617
Gujarat,Devbhumi Dwarka,,,,48.8,49.1,66.7,6.5,6.4,17.3,18.1,9.1,0.0,91.7,94.8,33.5,1463.0,61.2,73.4,93.9,98.7,15.8,2.6,0.5,60.6,24.2,36.2,30.2,26.1,22.4,24.1,84.1,76.6,29.1,0.0,0.4,0.0,,,,,,88598.0,27010.0,9255.0,3454.0,2136.0,2241.0,6973.0,6636.0,2631.0,4190.0,93.0,7468.962,3691.0051
Gujarat,Dohad,334272.0,2127086.0,47.35,75.1,69.4,87.2,6.9,7.0,17.7,18.2,14.0,3.7,93.2,92.5,40.3,1516.0,26.8,35.9,91.0,89.3,23.1,14.2,0.9,55.9,14.6,53.0,55.3,27.8,39.1,6.5,75.2,70.9,65.0,0.0,0.0,0.0,637.0,99.0,20.0,2.0,0.0,337849.0,16831.0,21414.0,12838.0,14086.0,1890.0,15954.0,14097.0,2915.0,3021.0,135.0,6663.5467,4425.9139
Gujarat,Gandhinagar,289990.0,1391753.0,74.04,68.8,57.4,81.2,8.4,8.7,29.3,23.9,15.0,0.4,89.3,97.8,29.7,2445.0,76.9,84.6,99.7,97.8,37.9,5.4,0.1,33.8,7.2,44.6,38.1,30.6,21.2,29.5,69.5,71.0,38.1,0.3,1.0,0.3,156.0,36.0,9.0,1.0,0.0,510380.0,225495.0,34216.0,46846.0,31066.0,60096.0,63519.0,155780.0,40877.0,5150.0,327.0,62130.4259,28241.2053
Gujarat,Gir Somnath,,,,49.9,57.7,68.9,7.2,6.2,12.3,14.0,9.9,0.7,91.8,87.1,46.6,1194.0,46.8,74.3,98.2,99.5,30.8,5.2,0.4,60.7,18.9,30.3,44.4,18.5,24.8,17.3,79.2,80.7,53.5,0.2,0.4,0.0,174.0,33.0,7.0,1.0,1.0,140697.0,63867.0,30896.0,8923.0,3707.0,2909.0,21898.0,15577.0,4358.0,5330.0,118.0,8351.4755,4671.5551
Gujarat,Jamnagar,430941.0,2160119.0,64.65,50.2,0.0,75.0,8.2,8.1,15.0,18.1,4.0,2.1,96.2,96.5,38.6,1150.0,81.6,86.6,99.7,98.9,35.3,1.3,0.2,52.0,7.7,28.9,28.4,23.8,17.3,29.5,91.7,73.8,52.5,0.3,0.3,0.3,210.0,45.0,9.0,0.0,1.0,119682.0,43284.0,17238.0,4512.0,2838.0,1542.0,12613.0,27776.0,3280.0,14316.0,240.0,29139.9682,19083.0615
Gujarat,Junagadh,527326.0,2743082.0,67.18,58.8,57.3,74.7,10.1,9.2,20.8,23.3,7.5,1.5,97.7,97.4,47.3,1272.0,67.2,81.7,97.0,99.3,35.0,2.9,0.2,54.4,13.8,26.4,37.3,17.3,18.7,33.4,82.0,72.5,39.6,0.2,0.4,0.4,237.0,46.0,9.0,1.0,0.0,186867.0,67945.0,7505.0,5041.0,5283.0,1134.0,21320.0,42519.0,3358.0,7399.0,217.0,20322.1176,11787.9677
Gujarat,Kachchh,445672.0,2092371.0,59.85,57.5,43.1,68.6,6.9,6.7,18.2,19.1,3.2,0.5,97.6,97.4,34.3,1793.0,67.2,85.8,96.8,99.2,24.1,2.7,0.3,38.7,8.9,33.4,37.5,20.2,28.1,25.7,88.8,84.2,74.3,0.0,0.4,0.0,442.0,77.0,16.0,3.0,0.0,275000.0,131394.0,18187.0,14147.0,7680.0,21179.0,27673.0,52889.0,11431.0,2441.0,413.0,61056.9592,30073.2692
Gujarat,Kheda,466856.0,2299885.0,72.19,76.1,72.9,85.1,9.0,8.5,24.5,24.0,14.1,1.5,88.4,95.2,32.2,2371.0,48.0,63.3,97.7,96.9,24.2,6.1,0.5,45.8,13.5,39.5,37.3,30.9,32.2,17.8,64.0,61.2,42.4,0.0,0.0,0.0,316.0,58.0,14.0,2.0,1.0,332510.0,144686.0,11751.0,8312.0,10324.0,7678.0,19548.0,31118.0,5106.0,2881.0,258.0,20904.8618,9835.2049
Gujarat,Mahesana,424479.0,2035064.0,73.84,69.3,62.9,86.0,12.1,9.7,27.0,22.6,14.6,0.5,91.6,97.3,40.7,5103.0,63.1,72.1,97.0,97.7,32.6,3.2,0.2,36.9,7.7,41.4,31.0,28.2,24.4,24.3,59.7,56.6,58.3,0.0,0.3,0.4,295.0,63.0,13.0,3.0,1.0,384368.0,150613.0,23982.0,19327.0,19347.0,21823.0,37079.0,100716.0,13661.0,4516.0,346.0,24604.9465,23785.2257
Gujarat,Mahisagar,,,,72.5,56.5,85.9,7.3,7.0,14.7,16.3,14.4,0.9,92.7,93.0,46.0,2087.0,47.4,44.4,94.8,95.2,33.9,4.1,0.3,45.5,5.0,49.0,43.4,26.2,30.7,9.4,77.2,76.6,63.3,0.9,0.6,0.6,225.0,36.0,8.0,1.0,1.0,180188.0,23210.0,7305.0,10049.0,13723.0,1613.0,14612.0,12053.0,2261.0,3642.0,97.0,5293.1542,3174.889
Gujarat,Morbi,,,,50.7,50.1,75.3,10.4,9.7,15.1,18.4,3.7,0.9,96.4,94.8,34.4,1370.0,73.6,80.1,98.3,99.9,35.4,1.9,0.2,54.7,7.3,32.3,32.9,25.2,21.2,24.6,89.8,75.1,55.8,0.0,0.2,0.0,198.0,35.0,5.0,2.0,1.0,132389.0,50926.0,18464.0,6518.0,2945.0,3803.0,16919.0,37237.0,6604.0,7391.0,165.0,13638.5325,24762.49
Gujarat,Narmada,122174.0,590297.0,62.74,75.9,75.6,93.2,6.6,6.3,20.8,19.2,7.5,1.0,84.2,81.7,51.1,753.0,31.3,54.6,96.8,92.7,22.6,11.9,1.2,48.8,14.6,52.8,47.2,23.0,30.7,11.1,81.7,83.4,65.1,0.0,0.0,0.0,174.0,28.0,3.0,2.0,1.0,112093.0,62208.0,5275.0,3722.0,4856.0,1017.0,6413.0,6736.0,1066.0,561.0,63.0,2970.7696,1799.0765
Gujarat,Navsari,295131.0,1329672.0,75.35,68.7,0.0,75.3,7.2,6.2,22.1,23.7,6.6,3.9,99.1,99.3,42.0,1188.0,70.2,80.1,97.4,98.7,47.7,11.8,1.4,29.2,9.0,43.6,36.8,29.0,21.8,18.7,93.4,94.7,79.1,0.5,0.5,0.2,296.0,50.0,11.0,3.0,1.0,220329.0,77351.0,16681.0,14098.0,10962.0,24488.0,21255.0,53099.0,10150.0,3579.0,257.0,30101.5364,10586.2485
Gujarat,Panch Mahals,446611.0,2390776.0,60.27,69.8,74.0,91.0,8.6,8.2,27.6,22.5,13.7,0.9,84.2,88.4,34.0,2680.0,43.6,58.9,91.0,95.5,28.4,7.7,0.4,42.2,7.8,51.9,47.1,35.7,33.1,16.1,74.0,88.7,64.2,0.0,0.0,0.2,300.0,54.0,12.0,1.0,1.0,273124.0,52841.0,24690.0,9735.0,10842.0,7583.0,13878.0,14038.0,2905.0,2336.0,167.0,9853.3377,7562.4234
Gujarat,Patan,267633.0,1343734.0,62.36,59.8,60.1,76.2,10.1,10.2,16.3,16.3,6.8,0.5,97.1,98.6,50.2,783.0,62.6,73.1,99.4,98.3,22.6,2.1,0.2,38.9,6.9,42.3,50.5,20.9,29.3,18.3,86.2,79.8,68.1,0.0,0.0,0.0,326.0,55.0,14.0,2.0,0.0,214617.0,99941.0,12532.0,5844.0,6147.0,3195.0,16286.0,20835.0,6489.0,2889.0,137.0,8462.4161,6068.6112
Gujarat,Porbandar,124556.0,585449.0,67.24,47.6,54.9,77.9,11.6,9.2,16.2,15.8,5.6,0.8,96.0,100.0,42.1,685.0,76.9,85.7,96.2,99.8,35.9,6.0,0.3,59.7,16.7,25.5,18.2,21.8,15.8,27.8,93.5,92.1,56.5,0.2,0.4,0.4,84.0,17.0,4.0,5.0,1.0,63747.0,25245.0,7206.0,2459.0,1599.0,601.0,6846.0,6722.0,1462.0,1973.0,85.0,12503.998,4420.2572
Gujarat,Rajkot,786586.0,3804558.0,71.63,60.5,0.0,77.0,8.5,7.7,14.5,17.8,4.3,1.2,100.0,99.3,45.1,668.0,83.6,85.4,99.5,99.6,42.6,1.2,0.1,53.4,7.2,37.0,38.9,17.6,19.5,28.0,94.0,93.5,60.6,0.0,0.5,0.1,347.0,82.0,12.0,0.0,1.0,265412.0,97524.0,32665.0,13198.0,6265.0,10825.0,37889.0,91691.0,9262.0,19393.0,554.0,80715.9739,74230.0227
Gujarat,Sabar Kantha,481414.0,2428589.0,65.01,67.3,49.4,81.1,8.6,8.1,26.1,24.0,14.0,0.5,83.0,89.4,49.3,1828.0,58.7,61.0,90.7,95.3,31.1,6.8,0.5,37.8,6.8,41.0,37.0,33.1,26.6,15.5,70.1,73.2,52.2,0.2,0.2,0.0,281.0,49.0,12.0,2.0,0.0,248742.0,73013.0,17151.0,12503.0,15714.0,7063.0,27281.0,48204.0,10904.0,8878.0,197.0,10637.7643,12587.6793
Gujarat,Surat,1333200.0,6081322.0,75.17,69.0,58.7,83.6,9.3,6.8,22.6,23.4,3.1,0.0,98.8,97.7,31.6,2342.0,88.6,82.0,98.9,99.3,44.0,8.7,1.6,32.5,7.7,32.5,36.1,26.0,21.0,25.1,92.2,93.4,73.1,0.2,0.4,0.4,343.0,105.0,20.0,2.0,0.0,297484.0,127646.0,25704.0,15847.0,9032.0,50364.0,36812.0,81681.0,15262.0,6892.0,951.0,130652.5786,148048.8237
Gujarat,Surendranagar,343213.0,1756268.0,62.27,55.6,60.8,81.0,11.3,8.5,14.7,17.1,8.6,2.9,83.6,85.6,50.4,1721.0,56.9,63.8,96.9,99.4,23.3,1.3,0.1,47.5,4.7,41.8,39.2,27.1,24.1,20.7,84.0,57.5,39.6,0.0,0.0,0.3,349.0,56.0,12.0,2.0,1.0,214633.0,96430.0,9502.0,4753.0,5333.0,3317.0,19851.0,24715.0,6735.0,5176.0,189.0,13293.2545,10327.7758
Gujarat,Tapi,177091.0,807022.0,60.72,77.4,72.0,80.7,9.1,7.1,28.0,25.2,8.1,1.6,85.2,92.9,42.3,846.0,45.5,70.2,99.0,97.6,32.5,14.5,2.3,35.6,10.8,51.8,41.7,36.6,35.4,12.6,83.2,91.0,73.6,0.2,0.1,0.0,241.0,39.0,6.0,2.0,1.0,167292.0,84997.0,20539.0,10850.0,7094.0,3477.0,11877.0,14956.0,2760.0,1727.0,65.0,4967.7085,2342.2357
Gujarat,The Dangs,44699.0,228291.0,61.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Unknown Districts Of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,25.0,4.0,1.0,1.0,,,,,,,,,,,,,
Gujarat,Vadodara,877106.0,4165626.0,69.45,72.3,65.9,86.4,6.5,7.8,23.8,24.3,11.8,0.7,95.2,95.9,41.7,1597.0,78.1,85.6,99.5,97.3,46.4,5.4,0.4,29.1,6.8,39.9,42.3,20.1,20.9,27.6,80.4,65.9,53.1,0.0,0.2,0.5,242.0,77.0,10.0,0.0,0.0,377757.0,133028.0,20017.0,9486.0,5329.0,41596.0,128753.0,95524.0,39989.0,14612.0,787.0,160847.5322,99025.3758
Gujarat,Valsad,364403.0,1705678.0,68.63,75.7,71.0,87.6,6.8,7.3,29.3,23.8,4.9,0.6,98.5,96.5,40.6,958.0,73.1,85.3,98.0,98.6,45.6,17.9,1.5,32.3,5.3,34.8,37.8,23.2,23.8,21.3,88.3,92.5,76.5,0.4,0.1,0.1,363.0,58.0,10.0,2.0,0.0,276071.0,63965.0,23534.0,16605.0,10145.0,61769.0,25461.0,68238.0,10052.0,5836.0,267.0,30792.7138,22387.7641
Haryana,Ambala,224334.0,1128350.0,72.5,46.1,33.8,64.2,5.3,4.0,31.2,28.8,5.6,5.8,91.0,97.8,19.0,2874.0,81.6,87.2,99.3,99.6,55.3,18.8,0.4,22.0,0.8,13.7,24.1,10.9,14.8,41.6,76.5,57.4,51.6,0.9,2.9,0.2,106.0,22.0,5.0,2.0,1.0,115984.0,57667.0,7180.0,5777.0,8008.0,4937.0,17131.0,48902.0,5987.0,8021.0,293.0,33571.1835,15940.8691
Haryana,Bhiwani,311380.0,1634445.0,65.46,66.4,54.1,69.2,6.2,5.4,24.8,18.7,5.8,0.3,97.8,97.7,28.2,1079.0,36.6,89.7,97.5,100.0,47.0,14.2,0.1,34.6,1.8,20.6,29.0,6.0,19.5,28.1,89.0,60.4,53.3,0.1,1.0,0.3,139.0,26.0,6.0,3.0,1.0,259221.0,84725.0,12539.0,14326.0,23922.0,8968.0,38750.0,89756.0,15766.0,25497.0,168.0,11952.1714,9730.6304
Haryana,Charki Dadri,,,,72.6,62.4,67.2,6.7,5.2,22.9,20.6,4.1,0.3,99.7,98.9,29.7,1607.0,36.2,90.4,97.3,99.5,54.5,12.0,0.1,38.3,1.9,16.9,23.9,10.6,17.0,28.8,82.6,53.4,48.9,0.0,0.0,0.0,78.0,12.0,3.0,0.0,1.0,84139.0,23300.0,4066.0,6279.0,12886.0,1998.0,17276.0,35696.0,5492.0,10052.0,64.0,5257.0816,3319.0484
Haryana,Faridabad,358919.0,1809733.0,70.33,54.2,30.9,68.4,5.1,3.8,26.2,23.3,4.7,1.2,93.9,92.5,32.8,1591.0,89.3,84.2,97.9,100.0,55.6,13.6,0.5,23.0,2.7,19.5,28.9,8.0,10.0,37.1,85.6,51.2,44.6,0.0,1.0,0.2,61.0,26.0,2.0,1.0,1.0,72702.0,26440.0,6045.0,5676.0,5364.0,14556.0,11932.0,31981.0,7190.0,1606.0,375.0,83020.4878,51110.2953
Haryana,Fatehabad,180637.0,942011.0,59.19,62.3,59.0,59.3,7.4,6.6,20.1,17.5,3.6,0.6,97.9,97.9,29.4,1012.0,43.7,87.3,99.8,99.8,41.5,14.2,0.5,23.5,0.8,26.6,24.6,16.0,19.8,29.8,91.3,60.1,60.3,0.0,0.7,0.2,131.0,23.0,7.0,1.0,1.0,180079.0,77626.0,9253.0,7758.0,8381.0,3617.0,28357.0,65752.0,15432.0,25046.0,170.0,8279.4356,9999.8664
Haryana,Gurugram,326428.0,1514432.0,73.37,67.5,55.9,67.7,9.8,7.4,22.4,16.5,4.5,0.0,97.2,96.7,34.6,1389.0,81.0,84.5,99.7,99.4,59.6,18.5,0.5,32.6,2.9,22.2,22.1,15.7,9.0,24.3,86.2,48.1,47.8,0.3,0.0,0.0,80.0,31.0,3.0,2.0,1.0,103961.0,27427.0,12119.0,12003.0,12472.0,23803.0,22855.0,56949.0,12582.0,7001.0,952.0,420226.8256,269931.1173
Haryana,Hisar,335608.0,1743931.0,63.9,63.8,58.7,70.5,8.2,7.1,28.6,19.4,4.7,2.2,98.8,98.2,27.9,975.0,44.8,89.1,99.3,99.7,43.9,14.2,0.2,34.5,1.8,21.4,27.8,16.4,18.5,30.2,91.2,69.9,54.4,0.0,0.0,0.2,198.0,32.0,9.0,3.0,1.0,366279.0,122784.0,24608.0,23555.0,32423.0,8326.0,59524.0,126192.0,27470.0,39277.0,295.0,25461.0211,27833.949
Haryana,Jhajjar,185334.0,958405.0,70.54,60.1,65.7,76.9,5.3,5.1,26.8,21.0,3.7,0.3,97.2,97.2,27.0,3316.0,55.9,91.7,96.6,99.8,62.7,14.7,0.1,34.1,2.6,9.7,15.6,8.0,10.1,43.5,87.3,60.1,58.7,0.2,0.8,0.2,134.0,29.0,6.0,2.0,1.0,134542.0,35831.0,22723.0,20359.0,22827.0,9363.0,28312.0,65919.0,9536.0,11609.0,189.0,17278.2376,11149.468
Haryana,Jind,249736.0,1334152.0,62.42,59.6,62.7,68.9,7.5,6.1,21.9,16.5,5.1,0.7,99.0,98.7,23.7,1670.0,42.1,88.5,96.2,100.0,45.3,16.9,0.0,35.3,2.5,22.9,25.5,8.8,18.9,32.3,82.6,49.6,46.9,0.9,2.0,0.4,173.0,27.0,7.0,3.0,1.0,189473.0,68915.0,11941.0,13044.0,14189.0,3772.0,28462.0,68074.0,8034.0,27385.0,181.0,11208.6649,11061.9999
Haryana,Kaithal,204274.0,1074304.0,60.18,61.5,43.2,61.4,9.6,8.7,20.4,16.9,4.5,1.6,99.7,98.2,29.1,1038.0,55.9,89.7,98.5,100.0,45.9,13.8,0.0,22.6,1.7,29.9,29.9,20.7,16.5,32.7,81.4,68.8,66.0,0.2,0.0,0.2,144.0,24.0,6.0,0.0,1.0,179128.0,79350.0,3959.0,6593.0,8847.0,2987.0,25451.0,65885.0,9093.0,23035.0,185.0,10660.7552,11805.5362
Haryana,Karnal,292084.0,1505324.0,64.97,61.9,53.2,78.3,3.7,3.5,21.2,17.6,4.4,5.1,98.6,99.0,24.6,1047.0,74.1,83.5,99.9,99.2,46.8,22.0,0.3,26.6,2.6,20.5,29.2,9.8,14.9,36.5,91.2,84.7,78.0,0.4,0.7,0.4,146.0,25.0,8.0,1.0,1.0,218907.0,109496.0,7233.0,8881.0,10373.0,9264.0,27466.0,77433.0,10902.0,21430.0,343.0,27361.4416,32304.5589
Haryana,Kurukshetra,188143.0,964655.0,67.06,57.1,46.3,73.7,5.1,4.8,34.4,30.4,7.7,7.7,97.6,98.4,19.2,1662.0,77.6,82.6,99.9,99.6,48.4,19.3,0.2,24.3,1.3,22.5,24.9,12.8,11.8,37.3,82.7,59.8,70.6,0.6,1.2,0.3,117.0,17.0,7.0,0.0,1.0,148861.0,75131.0,8108.0,7070.0,9080.0,5253.0,26823.0,69941.0,10949.0,15629.0,243.0,20036.937,12137.1997
Haryana,Mahendragarh,171712.0,922088.0,68.35,61.2,62.8,72.3,5.6,5.0,25.8,21.6,4.7,0.8,98.9,98.9,25.6,2497.0,34.2,79.8,99.7,99.6,52.4,13.9,0.4,32.9,2.3,15.4,25.2,8.4,14.3,29.5,88.1,55.2,48.5,0.1,0.1,0.1,140.0,19.0,7.0,1.0,1.0,150796.0,42596.0,12179.0,14040.0,25441.0,7274.0,32475.0,52007.0,6829.0,11906.0,136.0,11020.3612,5850.2654
Haryana,Nuh,160280.0,1089263.0,41.76,60.6,55.2,76.4,5.1,2.9,19.2,15.5,4.1,0.7,77.8,74.6,11.5,1031.0,22.0,71.7,97.1,98.6,13.9,5.5,0.3,36.5,4.7,37.3,44.4,14.2,19.2,14.9,70.9,45.9,18.3,0.5,1.3,0.8,111.0,18.0,4.0,0.0,1.0,145779.0,59881.0,7738.0,3671.0,4095.0,4877.0,11712.0,30855.0,7141.0,5314.0,85.0,3893.9631,1841.813
Haryana,Palwal,171157.0,1042708.0,57.52,57.2,56.8,71.6,5.3,3.1,23.2,21.9,5.6,2.1,83.2,78.3,23.5,1584.0,34.6,80.3,96.7,98.9,39.4,13.3,0.1,30.9,7.0,21.0,31.0,9.9,15.8,27.4,81.2,53.4,32.1,0.2,0.6,0.4,95.0,18.0,7.0,0.0,1.0,149034.0,57491.0,5701.0,7563.0,10918.0,13042.0,18590.0,44543.0,6931.0,9276.0,115.0,8630.9826,5552.2918
Haryana,Panchkula,117107.0,561293.0,72.21,57.1,,53.1,8.0,6.2,26.2,24.3,3.2,0.8,97.0,97.0,19.9,4399.0,81.1,82.6,99.2,99.5,60.3,20.0,0.3,19.5,0.9,19.3,21.8,12.0,14.1,39.9,82.6,76.9,69.5,0.3,0.5,0.3,46.0,9.0,2.0,0.0,1.0,36370.0,13975.0,1446.0,1936.0,2978.0,2655.0,4529.0,14448.0,1748.0,561.0,248.0,61058.8342,20862.3832
Haryana,Panipat,235640.0,1205437.0,65.25,66.9,69.0,73.4,5.1,4.9,25.6,21.6,8.2,4.7,96.3,97.1,26.5,1717.0,73.0,79.3,99.9,99.6,52.1,17.6,0.5,27.3,4.6,18.9,25.1,9.9,13.7,37.8,81.4,49.2,41.1,0.5,1.0,0.3,89.0,18.0,7.0,1.0,1.0,123785.0,55781.0,25038.0,8648.0,9658.0,9511.0,17578.0,48552.0,5780.0,6849.0,266.0,20881.5819,28126.8846
Haryana,Rewari,178043.0,900332.0,70.75,61.8,59.3,71.3,5.2,4.0,26.5,24.1,2.7,0.0,98.3,98.7,25.3,1464.0,54.9,86.4,99.7,100.0,58.7,19.1,0.3,33.5,4.4,20.5,25.9,9.3,11.7,28.3,85.7,63.8,45.8,0.0,0.0,0.0,114.0,19.0,5.0,1.0,1.0,138581.0,43173.0,8389.0,14641.0,23837.0,11295.0,32203.0,60296.0,8173.0,11178.0,190.0,19417.8056,11373.1497
Haryana,Rohtak,206988.0,1061204.0,70.45,65.3,77.1,76.2,7.0,6.6,24.5,20.7,3.8,1.9,96.7,97.4,24.8,1957.0,67.3,90.0,98.5,99.7,55.9,17.6,0.3,30.5,2.8,22.1,28.9,12.5,15.9,35.9,86.4,72.3,56.4,0.2,0.4,1.1,116.0,21.0,8.0,0.0,1.0,129787.0,37419.0,15406.0,13605.0,18191.0,6425.0,22161.0,62797.0,6585.0,12859.0,234.0,25286.3671,18818.3635
Haryana,Sirsa,246571.0,1295189.0,60.45,61.9,,70.1,10.3,6.2,26.8,19.9,5.2,0.9,99.3,99.3,26.6,1705.0,38.8,81.9,99.3,99.9,44.7,12.9,0.3,21.7,1.1,23.4,25.0,12.6,20.8,29.3,93.9,61.9,44.2,0.0,0.0,0.6,,,,,,210552.0,88258.0,14413.0,7432.0,7355.0,3476.0,34891.0,81229.0,24844.0,34739.0,220.0,12699.0516,15742.8208
Haryana,Sonipat,277726.0,1450001.0,68.85,53.3,61.0,68.7,6.5,6.2,21.9,20.0,4.3,4.0,90.2,99.7,22.4,1533.0,69.9,86.7,97.2,99.3,56.8,17.9,0.2,30.7,2.9,12.7,23.6,9.2,13.2,39.3,85.8,64.1,48.9,0.3,0.5,0.3,164.0,33.0,7.0,1.0,1.0,185143.0,64464.0,26044.0,19405.0,22062.0,15107.0,31448.0,81172.0,9744.0,13459.0,324.0,30658.3775,17666.182
Haryana,Yamunanagar,235423.0,1214205.0,68.56,56.6,62.2,72.9,6.7,5.7,28.8,28.7,7.2,6.6,86.0,94.8,20.6,1872.0,77.7,83.5,100.0,99.8,51.2,19.7,0.4,25.3,1.7,23.1,27.7,12.1,14.0,38.0,87.4,66.4,58.9,0.7,2.5,0.7,113.0,20.0,7.0,1.0,1.0,138559.0,72060.0,7633.0,6910.0,8280.0,4401.0,18532.0,49888.0,7389.0,11403.0,239.0,20909.9985,13880.7449
Himachal Pradesh,Bilaspur,80485.0,381956.0,75.3,53.0,0.0,44.8,9.8,9.3,20.3,22.1,6.3,0.0,87.6,91.7,35.4,3360.0,35.8,80.8,92.9,100.0,64.2,26.2,0.3,33.3,1.8,38.8,40.1,12.0,17.5,29.1,76.4,81.4,72.4,0.0,0.4,0.2,124.0,37.0,8.0,3.0,1.0,72905.0,3101.0,4697.0,7991.0,17781.0,7626.0,20963.0,34171.0,5570.0,5150.0,92.0,7155.0092,1970.9687
Himachal Pradesh,Chamba,102460.0,519080.0,62.39,43.7,38.3,46.5,6.1,5.4,23.2,17.8,2.0,1.6,74.1,72.0,26.8,4252.0,35.0,86.5,85.5,99.1,50.9,40.5,0.6,40.3,2.5,26.0,42.6,15.4,14.6,23.2,75.1,62.7,65.4,0.0,0.2,0.0,178.0,46.0,5.0,7.0,0.0,92274.0,3023.0,11012.0,15653.0,21896.0,3180.0,17632.0,23671.0,3558.0,4473.0,97.0,6047.7993,2149.5291
Himachal Pradesh,Hamirpur,105519.0,454768.0,78.74,49.5,0.0,52.0,8.0,7.5,35.2,28.1,12.4,1.1,92.4,97.6,32.0,4229.0,44.7,85.5,98.0,99.7,76.1,29.2,0.3,33.0,0.7,23.6,27.3,14.9,17.2,37.1,67.5,59.4,69.9,0.4,1.0,0.2,153.0,32.0,2.0,5.0,0.0,96745.0,5080.0,10176.0,12064.0,27610.0,19417.0,33308.0,54862.0,5384.0,3550.0,135.0,13091.3143,3060.0738
Himachal Pradesh,Kangra,338887.0,1510075.0,76.33,63.4,0.0,55.3,6.0,7.4,26.6,24.9,5.0,0.4,87.5,90.2,36.4,2087.0,49.1,73.3,98.6,99.7,69.9,34.1,1.1,32.9,1.2,32.0,28.0,19.4,15.2,31.0,51.5,56.3,63.4,0.2,0.2,0.0,439.0,81.0,20.0,21.0,1.0,298789.0,29764.0,30011.0,32609.0,71125.0,32811.0,76728.0,167893.0,17963.0,8233.0,325.0,35924.0566,9298.8307
Himachal Pradesh,Kinnaur,19976.0,84121.0,72.16,51.7,0.0,75.6,4.0,3.5,22.8,18.5,7.4,0.8,84.1,82.7,35.9,3884.0,70.4,80.1,96.9,99.6,56.1,50.6,0.9,44.1,2.0,18.9,32.2,11.3,9.9,26.4,77.8,75.3,68.7,0.2,0.8,0.0,35.0,25.0,4.0,1.0,1.0,18287.0,837.0,1222.0,1867.0,4715.0,1059.0,4459.0,3139.0,2214.0,3243.0,35.0,1408.6981,649.4028
